case,num_cores,makespan_noL2,makespan_L2,added_noL2,added_L2,cache_hit_rate,cache_speedup
case_092,1,4815554,4333631,66000096,66000096,0.7935,1.1112
case_092,2,1926278,1926278,5437728,5437728,0.0002,1.0
case_092,3,1275324,1274060,3859648,3859648,0.1431,1.001
case_092,4,971830,957454,4167456,4167456,0.3072,1.015
case_092,5,782420,771848,3950976,3950976,0.4533,1.0137
case_093,1,74205,74205,0,0,0.0,1.0
case_093,2,37827,37827,8192,8192,0.0,1.0
case_093,3,25103,25103,16384,16384,0.0,1.0
case_093,4,19779,19779,24576,24576,0.0,1.0
case_093,5,15876,15876,32768,32768,0.0,1.0
case_094,1,94892,94892,0,0,0.0,1.0
case_094,2,43154,43154,114464,114464,0.151,1.0
case_094,3,26395,26386,212544,212544,0.2569,1.0003
case_094,4,20034,19544,318528,318528,0.3119,1.0251
case_094,5,18933,18712,425088,425088,0.368,1.0118
case_095,1,2084853,2084853,0,0,0.0,1.0
case_095,2,1042890,1042890,0,0,0.0,1.0
case_095,3,673706,673706,16330752,16330752,0.0,1.0
case_095,4,524422,524422,0,0,0.0,1.0
case_095,5,420852,420852,0,0,0.0,1.0
case_096,1,84194,84194,0,0,0.0,1.0
case_096,2,40994,40994,124748,124748,0.3173,1.0
case_096,3,33260,33260,125704,125704,0.3204,1.0
case_096,4,27120,27001,642644,642644,0.3592,1.0044
case_096,5,26190,24477,965588,965588,0.5114,1.07
case_097,1,11491509,11491509,10584064,10584064,0.0,1.0
case_097,2,5478142,5477830,14655488,14655488,0.0496,1.0001
case_097,3,3578891,3578879,19671040,19671040,0.2631,1.0
case_097,4,2626908,2626908,14221312,14221312,0.0417,1.0
case_097,5,2102348,2102250,21311488,21311488,0.2452,1.0
case_098,1,177430,177430,0,0,0.0,1.0
case_098,2,87157,87088,960674,960674,0.1774,1.0008
case_098,3,64508,64155,1341690,1341690,0.2909,1.0055
case_098,4,69387,65338,1668366,1668366,0.4336,1.062
case_098,5,63261,56819,2001274,2001274,0.3494,1.1134
case_099,1,1622999,1618902,5484544,5484544,0.2524,1.0025
case_099,2,810196,805721,7315456,7315456,0.4537,1.0056
case_099,3,544403,540586,8798208,8798208,0.5104,1.0071
case_099,4,407859,404548,9818112,9818112,0.5833,1.0082
case_099,5,338025,327016,10776576,10776576,0.5496,1.0337
case_100,1,151223,151223,0,0,0.0,1.0
case_100,2,85674,85674,306188,306188,0.4076,1.0
case_100,3,58138,58137,1351892,1351892,0.4343,1.0
case_100,4,49328,49109,1560842,1560842,0.4864,1.0045
case_100,5,56857,46608,2045040,2045040,0.6501,1.2199
