case,baseline_makespan,baseline_added,makespan_n1,added_n1,speedup_n1,makespan_n2,added_n2,speedup_n2,makespan_n3,added_n3,speedup_n3,makespan_n4,added_n4,speedup_n4,makespan_n5,added_n5,speedup_n5
case_074,1682239,6070280,1682239,6070280,1.0,826937,6590472,2.0343,544838,7585792,3.0876,408750,7819264,4.1156,341070,8425472,4.9322
case_075,1441809,0,1441809,0,1.0,877119,6135050,1.6438,759919,4940516,1.8973,483592,5363096,2.9815,467451,5661612,3.0844
case_076,6185113,28280832,6185113,28280832,1.0,3072558,28930048,2.013,2054573,30402560,3.0104,1533331,32051200,4.0338,1235977,34179072,5.0042
case_077,495320,0,495320,0,1.0,250735,57344,1.9755,181672,114688,2.7265,162014,1359978,3.0573,135117,1522830,3.6659
case_078,2296143,12644568,2296143,12644568,1.0,1080972,15039360,2.1241,993959,12673800,2.3101,690924,13146912,3.3233,653430,11426304,3.514
case_079,31052251,32448512,31052251,32448512,1.0,15500252,32555008,2.0033,10181692,39960576,3.0498,7635624,30445568,4.0668,6075976,47677440,5.1107
case_080,292138,548864,292138,548864,1.0,145926,2191360,2.002,100325,3047424,2.9119,91350,1667072,3.198,86030,1904640,3.3958
case_081,151795,0,151795,0,1.0,76860,0,1.975,51943,0,2.9223,39588,0,3.8344,30943,0,4.9056
case_082,721041,0,721041,0,1.0,715513,1072762,1.0077,268232,1738500,2.6881,261872,2413348,2.7534,229394,2616512,3.1432
case_083,1057993,13934688,1057993,13934688,1.0,624895,27912000,1.6931,512623,14842752,2.0639,450029,14977600,2.3509,442480,15058048,2.3911
case_084,2507412,0,2507412,0,1.0,1255052,0,1.9979,836220,0,2.9985,629028,0,3.9862,503472,0,4.9802
case_085,3187899,0,3187899,0,1.0,3188020,402312,1.0,1633063,8690292,1.9521,951743,8039738,3.3495,990766,10240282,3.2176
case_086,118403,0,118403,0,1.0,103789,1945986,1.1408,62250,1153664,1.9021,62250,1153664,1.9021,70050,1484920,1.6903
case_087,3974071,7902720,3974071,7902720,1.0,1993185,8248320,1.9938,1558840,18738296,2.5494,1170353,22068622,3.3956,996858,24196298,3.9866
case_088,243623,0,243623,0,1.0,178129,1290286,1.3677,122739,1792620,1.9849,122739,1792620,1.9849,153887,1049268,1.5831
case_089,693092,0,693092,0,1.0,346832,238720,1.9984,243614,477440,2.845,178160,716160,3.8903,147432,954880,4.7011
case_090,1178363,21233592,1178363,21233592,1.0,670035,4295328,1.7587,589444,25781760,1.9991,565296,25781760,2.0845,542638,21724704,2.1715
case_091,9186769,53947008,9186769,53947008,1.0,4594740,57327744,1.9994,3096288,63195264,2.967,2355963,67047552,3.8994,1898042,73166848,4.8401
case_092,4815554,66000096,4815554,66000096,1.0,2828252,66389088,1.7027,2231804,66784736,2.1577,1927728,67180384,2.498,1661234,66980256,2.8988
case_093,74205,0,74205,0,1.0,37827,8192,1.9617,25103,16384,2.956,19779,24576,3.7517,15876,32768,4.674
case_094,94892,0,94892,0,1.0,49385,106272,1.9215,34069,212544,2.7853,25395,105984,3.7366,21487,425088,4.4163
case_095,2084853,0,2084853,0,1.0,1042890,0,1.9991,663480,16330752,3.1423,518918,18284544,4.0177,420852,0,4.9539
case_096,84194,0,84194,0,1.0,44237,0,1.9032,45601,305108,1.8463,40892,822252,2.0589,40116,714846,2.0988
case_097,11491509,10584064,11491509,10584064,1.0,5192028,29818880,2.2133,3577028,29818880,3.2126,2608028,29818880,4.4062,2102348,21311488,5.466
case_098,177430,0,177430,0,1.0,112229,237588,1.581,92603,2213116,1.916,86165,2366744,2.0592,75917,1614026,2.3372
case_099,1622999,5484544,1622999,5484544,1.0,810196,7315456,2.0032,544403,8798208,2.9812,407859,9818112,3.9793,337370,6799360,4.8107
case_100,151223,0,151223,0,1.0,102535,760332,1.4748,86479,1061904,1.7487,77393,1452048,1.954,74180,1452048,2.0386
