case,problem,num_cores,makespan,baseline_makespan,speedup,source,source_n,plan
case_002,2,1,261945,261945,1.0,self,1,results/final_plans_mono/p2/n1/case_002_multicore_res.json
case_002,2,2,121768,261945,2.1512,self,2,results/final_plans_mono/p2/n2/case_002_multicore_res.json
case_002,2,3,82329,261945,3.1817,self,3,results/final_plans_mono/p2/n3/case_002_multicore_res.json
case_002,2,4,65442,261945,4.0027,self,4,results/final_plans_mono/p2/n4/case_002_multicore_res.json
case_002,2,5,54581,261945,4.7992,self,5,results/final_plans_mono/p2/n5/case_002_multicore_res.json
case_002,3,1,261945,261945,1.0,self,1,results/final_plans_mono/p3/n1/case_002_multicore_res.json
case_002,3,2,121768,261945,2.1512,self,2,results/final_plans_mono/p3/n2/case_002_multicore_res.json
case_002,3,3,82329,261945,3.1817,self,3,results/final_plans_mono/p3/n3/case_002_multicore_res.json
case_002,3,4,65392,261945,4.0058,self,4,results/final_plans_mono/p3/n4/case_002_multicore_res.json
case_002,3,5,54581,261945,4.7992,self,5,results/final_plans_mono/p3/n5/case_002_multicore_res.json
case_003,1,1,602212,602212,1.0,self,1,results/final_plans_mono/p1/n1/case_003_multicore_res.json
case_003,1,2,561059,602212,1.0733,self,2,results/final_plans_mono/p1/n2/case_003_multicore_res.json
case_003,1,3,286936,602212,2.0988,self,3,results/final_plans_mono/p1/n3/case_003_multicore_res.json
case_003,1,4,225768,602212,2.6674,self,4,results/final_plans_mono/p1/n4/case_003_multicore_res.json
case_003,1,5,225768,602212,2.6674,embed_from_4,4,results/final_plans_mono/p1/n5/case_003_multicore_res.json
case_003,2,1,602212,602212,1.0,self,1,results/final_plans_mono/p2/n1/case_003_multicore_res.json
case_003,2,2,285420,602212,2.1099,self,2,results/final_plans_mono/p2/n2/case_003_multicore_res.json
case_003,2,3,252886,602212,2.3814,self,3,results/final_plans_mono/p2/n3/case_003_multicore_res.json
case_003,2,4,182260,602212,3.3041,self,4,results/final_plans_mono/p2/n4/case_003_multicore_res.json
case_003,2,5,182260,602212,3.3041,embed_from_4,4,results/final_plans_mono/p2/n5/case_003_multicore_res.json
case_003,3,1,602212,602212,1.0,self,1,results/final_plans_mono/p3/n1/case_003_multicore_res.json
case_003,3,2,285418,602212,2.1099,self,2,results/final_plans_mono/p3/n2/case_003_multicore_res.json
case_003,3,3,251261,602212,2.3968,self,3,results/final_plans_mono/p3/n3/case_003_multicore_res.json
case_003,3,4,179646,602212,3.3522,self,4,results/final_plans_mono/p3/n4/case_003_multicore_res.json
case_003,3,5,179646,602212,3.3522,embed_from_4,4,results/final_plans_mono/p3/n5/case_003_multicore_res.json
case_004,1,1,392357,392357,1.0,self,1,results/final_plans_mono/p1/n1/case_004_multicore_res.json
case_004,1,2,199074,392357,1.9709,self,2,results/final_plans_mono/p1/n2/case_004_multicore_res.json
case_004,1,3,134043,392357,2.9271,self,3,results/final_plans_mono/p1/n3/case_004_multicore_res.json
case_004,1,4,104188,392357,3.7659,self,4,results/final_plans_mono/p1/n4/case_004_multicore_res.json
case_004,1,5,88341,392357,4.4414,self,5,results/final_plans_mono/p1/n5/case_004_multicore_res.json
case_004,2,1,392357,392357,1.0,self,1,results/final_plans_mono/p2/n1/case_004_multicore_res.json
case_004,2,2,195960,392357,2.0022,self,2,results/final_plans_mono/p2/n2/case_004_multicore_res.json
case_004,2,3,130725,392357,3.0014,self,3,results/final_plans_mono/p2/n3/case_004_multicore_res.json
case_004,2,4,100126,392357,3.9186,self,4,results/final_plans_mono/p2/n4/case_004_multicore_res.json
case_004,2,5,83319,392357,4.7091,self,5,results/final_plans_mono/p2/n5/case_004_multicore_res.json
case_004,3,1,392357,392357,1.0,self,1,results/final_plans_mono/p3/n1/case_004_multicore_res.json
case_004,3,2,195960,392357,2.0022,self,2,results/final_plans_mono/p3/n2/case_004_multicore_res.json
case_004,3,3,130725,392357,3.0014,self,3,results/final_plans_mono/p3/n3/case_004_multicore_res.json
case_004,3,4,100126,392357,3.9186,self,4,results/final_plans_mono/p3/n4/case_004_multicore_res.json
case_004,3,5,83319,392357,4.7091,self,5,results/final_plans_mono/p3/n5/case_004_multicore_res.json
case_005,1,1,95618,95618,1.0,self,1,results/final_plans_mono/p1/n1/case_005_multicore_res.json
case_005,1,2,68676,95618,1.3923,self,2,results/final_plans_mono/p1/n2/case_005_multicore_res.json
case_005,1,3,55517,95618,1.7223,self,3,results/final_plans_mono/p1/n3/case_005_multicore_res.json
case_005,1,4,55517,95618,1.7223,embed_from_3,3,results/final_plans_mono/p1/n4/case_005_multicore_res.json
case_005,1,5,55517,95618,1.7223,embed_from_3,3,results/final_plans_mono/p1/n5/case_005_multicore_res.json
case_005,2,1,95618,95618,1.0,self,1,results/final_plans_mono/p2/n1/case_005_multicore_res.json
case_005,2,2,52975,95618,1.805,self,2,results/final_plans_mono/p2/n2/case_005_multicore_res.json
case_005,2,3,38285,95618,2.4975,self,3,results/final_plans_mono/p2/n3/case_005_multicore_res.json
case_005,2,4,38285,95618,2.4975,embed_from_3,3,results/final_plans_mono/p2/n4/case_005_multicore_res.json
case_005,2,5,38285,95618,2.4975,embed_from_3,3,results/final_plans_mono/p2/n5/case_005_multicore_res.json
case_005,3,1,95618,95618,1.0,self,1,results/final_plans_mono/p3/n1/case_005_multicore_res.json
case_005,3,2,52945,95618,1.806,self,2,results/final_plans_mono/p3/n2/case_005_multicore_res.json
case_005,3,3,38024,95618,2.5147,self,3,results/final_plans_mono/p3/n3/case_005_multicore_res.json
case_005,3,4,36155,95618,2.6447,self,4,results/final_plans_mono/p3/n4/case_005_multicore_res.json
case_005,3,5,35497,95618,2.6937,self,5,results/final_plans_mono/p3/n5/case_005_multicore_res.json
case_006,1,1,82837,82837,1.0,self,1,results/final_plans_mono/p1/n1/case_006_multicore_res.json
case_006,1,2,45035,82837,1.8394,self,2,results/final_plans_mono/p1/n2/case_006_multicore_res.json
case_006,1,3,36031,82837,2.299,self,3,results/final_plans_mono/p1/n3/case_006_multicore_res.json
case_006,1,4,33209,82837,2.4944,self,4,results/final_plans_mono/p1/n4/case_006_multicore_res.json
case_006,1,5,28796,82837,2.8767,self,5,results/final_plans_mono/p1/n5/case_006_multicore_res.json
case_006,2,1,82837,82837,1.0,self,1,results/final_plans_mono/p2/n1/case_006_multicore_res.json
case_006,2,2,43854,82837,1.8889,self,2,results/final_plans_mono/p2/n2/case_006_multicore_res.json
case_006,2,3,27968,82837,2.9618,self,3,results/final_plans_mono/p2/n3/case_006_multicore_res.json
case_006,2,4,25390,82837,3.2626,self,4,results/final_plans_mono/p2/n4/case_006_multicore_res.json
case_006,2,5,22940,82837,3.611,self,5,results/final_plans_mono/p2/n5/case_006_multicore_res.json
case_006,3,1,82837,82837,1.0,self,1,results/final_plans_mono/p3/n1/case_006_multicore_res.json
case_006,3,2,43776,82837,1.8923,self,2,results/final_plans_mono/p3/n2/case_006_multicore_res.json
case_006,3,3,26930,82837,3.076,self,3,results/final_plans_mono/p3/n3/case_006_multicore_res.json
case_006,3,4,25382,82837,3.2636,self,4,results/final_plans_mono/p3/n4/case_006_multicore_res.json
case_006,3,5,22533,82837,3.6763,self,5,results/final_plans_mono/p3/n5/case_006_multicore_res.json
case_007,1,1,1012562,1012562,1.0,self,1,results/final_plans_mono/p1/n1/case_007_multicore_res.json
case_007,1,2,507494,1012562,1.9952,self,2,results/final_plans_mono/p1/n2/case_007_multicore_res.json
case_007,1,3,338094,1012562,2.9949,self,3,results/final_plans_mono/p1/n3/case_007_multicore_res.json
case_007,1,4,254398,1012562,3.9802,self,4,results/final_plans_mono/p1/n4/case_007_multicore_res.json
case_007,1,5,203834,1012562,4.9676,self,5,results/final_plans_mono/p1/n5/case_007_multicore_res.json
case_007,2,1,1012562,1012562,1.0,self,1,results/final_plans_mono/p2/n1/case_007_multicore_res.json
case_007,2,2,507494,1012562,1.9952,self,2,results/final_plans_mono/p2/n2/case_007_multicore_res.json
case_007,2,3,338094,1012562,2.9949,self,3,results/final_plans_mono/p2/n3/case_007_multicore_res.json
case_007,2,4,254398,1012562,3.9802,self,4,results/final_plans_mono/p2/n4/case_007_multicore_res.json
case_007,2,5,203834,1012562,4.9676,self,5,results/final_plans_mono/p2/n5/case_007_multicore_res.json
case_007,3,1,1012562,1012562,1.0,self,1,results/final_plans_mono/p3/n1/case_007_multicore_res.json
case_007,3,2,507494,1012562,1.9952,self,2,results/final_plans_mono/p3/n2/case_007_multicore_res.json
case_007,3,3,338094,1012562,2.9949,self,3,results/final_plans_mono/p3/n3/case_007_multicore_res.json
case_007,3,4,254398,1012562,3.9802,self,4,results/final_plans_mono/p3/n4/case_007_multicore_res.json
case_007,3,5,203834,1012562,4.9676,self,5,results/final_plans_mono/p3/n5/case_007_multicore_res.json
case_008,1,1,487605,487605,1.0,self,1,results/final_plans_mono/p1/n1/case_008_multicore_res.json
case_008,1,2,244163,487605,1.997,self,2,results/final_plans_mono/p1/n2/case_008_multicore_res.json
case_008,1,3,163256,487605,2.9868,self,3,results/final_plans_mono/p1/n3/case_008_multicore_res.json
case_008,1,4,122957,487605,3.9657,self,4,results/final_plans_mono/p1/n4/case_008_multicore_res.json
case_008,1,5,100500,487605,4.8518,self,5,results/final_plans_mono/p1/n5/case_008_multicore_res.json
case_008,2,1,487605,487605,1.0,self,1,results/final_plans_mono/p2/n1/case_008_multicore_res.json
case_008,2,2,155082,487605,3.1442,self,2,results/final_plans_mono/p2/n2/case_008_multicore_res.json
case_008,2,3,110895,487605,4.397,self,3,results/final_plans_mono/p2/n3/case_008_multicore_res.json
case_008,2,4,88500,487605,5.5097,self,4,results/final_plans_mono/p2/n4/case_008_multicore_res.json
case_008,2,5,71833,487605,6.788,self,5,results/final_plans_mono/p2/n5/case_008_multicore_res.json
case_008,3,1,487605,487605,1.0,self,1,results/final_plans_mono/p3/n1/case_008_multicore_res.json
case_008,3,2,155082,487605,3.1442,self,2,results/final_plans_mono/p3/n2/case_008_multicore_res.json
case_008,3,3,110895,487605,4.397,self,3,results/final_plans_mono/p3/n3/case_008_multicore_res.json
case_008,3,4,88500,487605,5.5097,self,4,results/final_plans_mono/p3/n4/case_008_multicore_res.json
case_008,3,5,71833,487605,6.788,self,5,results/final_plans_mono/p3/n5/case_008_multicore_res.json
case_009,1,1,153261,153261,1.0,self,1,results/final_plans_mono/p1/n1/case_009_multicore_res.json
case_009,1,2,111035,153261,1.3803,self,2,results/final_plans_mono/p1/n2/case_009_multicore_res.json
case_009,1,3,88247,153261,1.7367,self,3,results/final_plans_mono/p1/n3/case_009_multicore_res.json
case_009,1,4,88247,153261,1.7367,embed_from_3,3,results/final_plans_mono/p1/n4/case_009_multicore_res.json
case_009,1,5,68190,153261,2.2476,self,5,results/final_plans_mono/p1/n5/case_009_multicore_res.json
case_009,2,1,153261,153261,1.0,self,1,results/final_plans_mono/p2/n1/case_009_multicore_res.json
case_009,2,2,91267,153261,1.6793,self,2,results/final_plans_mono/p2/n2/case_009_multicore_res.json
case_009,2,3,66004,153261,2.322,self,3,results/final_plans_mono/p2/n3/case_009_multicore_res.json
case_009,2,4,63921,153261,2.3977,self,4,results/final_plans_mono/p2/n4/case_009_multicore_res.json
case_009,2,5,49750,153261,3.0806,self,5,results/final_plans_mono/p2/n5/case_009_multicore_res.json
case_009,3,1,153261,153261,1.0,self,1,results/final_plans_mono/p3/n1/case_009_multicore_res.json
case_009,3,2,91263,153261,1.6793,self,2,results/final_plans_mono/p3/n2/case_009_multicore_res.json
case_009,3,3,65976,153261,2.323,self,3,results/final_plans_mono/p3/n3/case_009_multicore_res.json
case_009,3,4,63026,153261,2.4317,self,4,results/final_plans_mono/p3/n4/case_009_multicore_res.json
case_009,3,5,48320,153261,3.1718,self,5,results/final_plans_mono/p3/n5/case_009_multicore_res.json
case_010,1,1,86969,86969,1.0,self,1,results/final_plans_mono/p1/n1/case_010_multicore_res.json
case_010,1,2,44202,86969,1.9675,self,2,results/final_plans_mono/p1/n2/case_010_multicore_res.json
case_010,1,3,35952,86969,2.419,self,3,results/final_plans_mono/p1/n3/case_010_multicore_res.json
case_010,1,4,35660,86969,2.4388,self,4,results/final_plans_mono/p1/n4/case_010_multicore_res.json
case_010,1,5,33508,86969,2.5955,self,5,results/final_plans_mono/p1/n5/case_010_multicore_res.json
case_010,2,1,86969,86969,1.0,self,1,results/final_plans_mono/p2/n1/case_010_multicore_res.json
case_010,2,2,42089,86969,2.0663,self,2,results/final_plans_mono/p2/n2/case_010_multicore_res.json
case_010,2,3,27958,86969,3.1107,self,3,results/final_plans_mono/p2/n3/case_010_multicore_res.json
case_010,2,4,26757,86969,3.2503,self,4,results/final_plans_mono/p2/n4/case_010_multicore_res.json
case_010,2,5,23284,86969,3.7351,self,5,results/final_plans_mono/p2/n5/case_010_multicore_res.json
case_010,3,1,86969,86969,1.0,self,1,results/final_plans_mono/p3/n1/case_010_multicore_res.json
case_010,3,2,41582,86969,2.0915,self,2,results/final_plans_mono/p3/n2/case_010_multicore_res.json
case_010,3,3,27337,86969,3.1814,self,3,results/final_plans_mono/p3/n3/case_010_multicore_res.json
case_010,3,4,24926,86969,3.4891,self,4,results/final_plans_mono/p3/n4/case_010_multicore_res.json
case_010,3,5,22007,86969,3.9519,self,5,results/final_plans_mono/p3/n5/case_010_multicore_res.json
case_011,1,1,184697,184697,1.0,self,1,results/final_plans_mono/p1/n1/case_011_multicore_res.json
case_011,1,2,92646,184697,1.9936,self,2,results/final_plans_mono/p1/n2/case_011_multicore_res.json
case_011,1,3,69625,184697,2.6527,self,3,results/final_plans_mono/p1/n3/case_011_multicore_res.json
case_011,1,4,46880,184697,3.9398,self,4,results/final_plans_mono/p1/n4/case_011_multicore_res.json
case_011,1,5,46777,184697,3.9485,self,5,results/final_plans_mono/p1/n5/case_011_multicore_res.json
case_011,2,1,184697,184697,1.0,self,1,results/final_plans_mono/p2/n1/case_011_multicore_res.json
case_011,2,2,92646,184697,1.9936,self,2,results/final_plans_mono/p2/n2/case_011_multicore_res.json
case_011,2,3,66222,184697,2.7891,self,3,results/final_plans_mono/p2/n3/case_011_multicore_res.json
case_011,2,4,46880,184697,3.9398,self,4,results/final_plans_mono/p2/n4/case_011_multicore_res.json
case_011,2,5,40551,184697,4.5547,self,5,results/final_plans_mono/p2/n5/case_011_multicore_res.json
case_011,3,1,184697,184697,1.0,self,1,results/final_plans_mono/p3/n1/case_011_multicore_res.json
case_011,3,2,92646,184697,1.9936,self,2,results/final_plans_mono/p3/n2/case_011_multicore_res.json
case_011,3,3,66222,184697,2.7891,self,3,results/final_plans_mono/p3/n3/case_011_multicore_res.json
case_011,3,4,46880,184697,3.9398,self,4,results/final_plans_mono/p3/n4/case_011_multicore_res.json
case_011,3,5,43081,184697,4.2872,self,5,results/final_plans_mono/p3/n5/case_011_multicore_res.json
case_012,1,1,59088,59088,1.0,self,1,results/final_plans_mono/p1/n1/case_012_multicore_res.json
case_012,1,2,29841,59088,1.9801,self,2,results/final_plans_mono/p1/n2/case_012_multicore_res.json
case_012,1,3,21365,59088,2.7656,self,3,results/final_plans_mono/p1/n3/case_012_multicore_res.json
case_012,1,4,19044,59088,3.1027,self,4,results/final_plans_mono/p1/n4/case_012_multicore_res.json
case_012,1,5,18241,59088,3.2393,self,5,results/final_plans_mono/p1/n5/case_012_multicore_res.json
case_012,2,1,59088,59088,1.0,self,1,results/final_plans_mono/p2/n1/case_012_multicore_res.json
case_012,2,2,21950,59088,2.6919,self,2,results/final_plans_mono/p2/n2/case_012_multicore_res.json
case_012,2,3,18325,59088,3.2244,self,3,results/final_plans_mono/p2/n3/case_012_multicore_res.json
case_012,2,4,15493,59088,3.8139,self,4,results/final_plans_mono/p2/n4/case_012_multicore_res.json
case_012,2,5,14614,59088,4.0432,self,5,results/final_plans_mono/p2/n5/case_012_multicore_res.json
case_012,3,1,59088,59088,1.0,self,1,results/final_plans_mono/p3/n1/case_012_multicore_res.json
case_012,3,2,21950,59088,2.6919,self,2,results/final_plans_mono/p3/n2/case_012_multicore_res.json
case_012,3,3,19484,59088,3.0326,self,3,results/final_plans_mono/p3/n3/case_012_multicore_res.json
case_012,3,4,14808,59088,3.9903,self,4,results/final_plans_mono/p3/n4/case_012_multicore_res.json
case_012,3,5,13281,59088,4.4491,self,5,results/final_plans_mono/p3/n5/case_012_multicore_res.json
case_013,1,1,263949,263949,1.0,self,1,results/final_plans_mono/p1/n1/case_013_multicore_res.json
case_013,1,2,132198,263949,1.9966,self,2,results/final_plans_mono/p1/n2/case_013_multicore_res.json
case_013,1,3,88351,263949,2.9875,self,3,results/final_plans_mono/p1/n3/case_013_multicore_res.json
case_013,1,4,66982,263949,3.9406,self,4,results/final_plans_mono/p1/n4/case_013_multicore_res.json
case_013,1,5,54363,263949,4.8553,self,5,results/final_plans_mono/p1/n5/case_013_multicore_res.json
case_013,2,1,263949,263949,1.0,self,1,results/final_plans_mono/p2/n1/case_013_multicore_res.json
case_013,2,2,132198,263949,1.9966,self,2,results/final_plans_mono/p2/n2/case_013_multicore_res.json
case_013,2,3,88351,263949,2.9875,self,3,results/final_plans_mono/p2/n3/case_013_multicore_res.json
case_013,2,4,66982,263949,3.9406,self,4,results/final_plans_mono/p2/n4/case_013_multicore_res.json
case_013,2,5,54363,263949,4.8553,self,5,results/final_plans_mono/p2/n5/case_013_multicore_res.json
case_013,3,1,263949,263949,1.0,self,1,results/final_plans_mono/p3/n1/case_013_multicore_res.json
case_013,3,2,132198,263949,1.9966,self,2,results/final_plans_mono/p3/n2/case_013_multicore_res.json
case_013,3,3,88351,263949,2.9875,self,3,results/final_plans_mono/p3/n3/case_013_multicore_res.json
case_013,3,4,66982,263949,3.9406,self,4,results/final_plans_mono/p3/n4/case_013_multicore_res.json
case_013,3,5,54363,263949,4.8553,self,5,results/final_plans_mono/p3/n5/case_013_multicore_res.json
case_014,1,1,17698626,17698626,1.0,self,1,results/final_plans_mono/p1/n1/case_014_multicore_res.json
case_014,1,2,17698626,17698626,1.0,embed_from_1,1,results/final_plans_mono/p1/n2/case_014_multicore_res.json
case_014,1,3,17698626,17698626,1.0,embed_from_1,1,results/final_plans_mono/p1/n3/case_014_multicore_res.json
case_014,1,4,4577787,17698626,3.8662,self,4,results/final_plans_mono/p1/n4/case_014_multicore_res.json
case_014,1,5,3752694,17698626,4.7162,self,5,results/final_plans_mono/p1/n5/case_014_multicore_res.json
case_014,2,1,17698626,17698626,1.0,self,1,results/final_plans_mono/p2/n1/case_014_multicore_res.json
case_014,2,2,8904271,17698626,1.9877,self,2,results/final_plans_mono/p2/n2/case_014_multicore_res.json
case_014,2,3,5933771,17698626,2.9827,self,3,results/final_plans_mono/p2/n3/case_014_multicore_res.json
case_014,2,4,4511152,17698626,3.9233,self,4,results/final_plans_mono/p2/n4/case_014_multicore_res.json
case_014,2,5,3722693,17698626,4.7543,self,5,results/final_plans_mono/p2/n5/case_014_multicore_res.json
case_014,3,1,17689602,17698626,1.0005,self,1,results/final_plans_mono/p3/n1/case_014_multicore_res.json
case_014,3,2,8896369,17698626,1.9894,self,2,results/final_plans_mono/p3/n2/case_014_multicore_res.json
case_014,3,3,5881266,17698626,3.0093,self,3,results/final_plans_mono/p3/n3/case_014_multicore_res.json
case_014,3,4,4453421,17698626,3.9742,self,4,results/final_plans_mono/p3/n4/case_014_multicore_res.json
case_014,3,5,3709834,17698626,4.7707,self,5,results/final_plans_mono/p3/n5/case_014_multicore_res.json
case_015,1,1,177362,177362,1.0,self,1,results/final_plans_mono/p1/n1/case_015_multicore_res.json
case_015,1,2,88439,177362,2.0055,self,2,results/final_plans_mono/p1/n2/case_015_multicore_res.json
case_015,1,3,61168,177362,2.8996,self,3,results/final_plans_mono/p1/n3/case_015_multicore_res.json
case_015,1,4,53003,177362,3.3463,self,4,results/final_plans_mono/p1/n4/case_015_multicore_res.json
case_015,1,5,53003,177362,3.3463,embed_from_4,4,results/final_plans_mono/p1/n5/case_015_multicore_res.json
case_015,2,1,177362,177362,1.0,self,1,results/final_plans_mono/p2/n1/case_015_multicore_res.json
case_015,2,2,83564,177362,2.1225,self,2,results/final_plans_mono/p2/n2/case_015_multicore_res.json
case_015,2,3,58843,177362,3.0142,self,3,results/final_plans_mono/p2/n3/case_015_multicore_res.json
case_015,2,4,43898,177362,4.0403,self,4,results/final_plans_mono/p2/n4/case_015_multicore_res.json
case_015,2,5,43376,177362,4.0889,self,5,results/final_plans_mono/p2/n5/case_015_multicore_res.json
case_015,3,1,177362,177362,1.0,self,1,results/final_plans_mono/p3/n1/case_015_multicore_res.json
case_015,3,2,83405,177362,2.1265,self,2,results/final_plans_mono/p3/n2/case_015_multicore_res.json
case_015,3,3,58467,177362,3.0335,self,3,results/final_plans_mono/p3/n3/case_015_multicore_res.json
case_015,3,4,46043,177362,3.8521,self,4,results/final_plans_mono/p3/n4/case_015_multicore_res.json
case_015,3,5,42703,177362,4.1534,self,5,results/final_plans_mono/p3/n5/case_015_multicore_res.json
case_016,1,1,7715523,7715523,1.0,self,1,results/final_plans_mono/p1/n1/case_016_multicore_res.json
case_016,1,2,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p1/n2/case_016_multicore_res.json
case_016,1,3,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p1/n3/case_016_multicore_res.json
case_016,1,4,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p1/n4/case_016_multicore_res.json
case_016,1,5,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p1/n5/case_016_multicore_res.json
case_016,2,1,7715523,7715523,1.0,self,1,results/final_plans_mono/p2/n1/case_016_multicore_res.json
case_016,2,2,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p2/n2/case_016_multicore_res.json
case_016,2,3,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p2/n3/case_016_multicore_res.json
case_016,2,4,6104382,7715523,1.2639,self,4,results/final_plans_mono/p2/n4/case_016_multicore_res.json
case_016,2,5,6104382,7715523,1.2639,embed_from_4,4,results/final_plans_mono/p2/n5/case_016_multicore_res.json
case_016,3,1,7715523,7715523,1.0,self,1,results/final_plans_mono/p3/n1/case_016_multicore_res.json
case_016,3,2,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p3/n2/case_016_multicore_res.json
case_016,3,3,7715523,7715523,1.0,embed_from_1,1,results/final_plans_mono/p3/n3/case_016_multicore_res.json
case_016,3,4,6103967,7715523,1.264,self,4,results/final_plans_mono/p3/n4/case_016_multicore_res.json
case_016,3,5,6103967,7715523,1.264,embed_from_4,4,results/final_plans_mono/p3/n5/case_016_multicore_res.json
case_017,1,1,162810,162810,1.0,self,1,results/final_plans_mono/p1/n1/case_017_multicore_res.json
case_017,1,2,80139,162810,2.0316,self,2,results/final_plans_mono/p1/n2/case_017_multicore_res.json
case_017,1,3,57528,162810,2.8301,self,3,results/final_plans_mono/p1/n3/case_017_multicore_res.json
case_017,1,4,46304,162810,3.5161,self,4,results/final_plans_mono/p1/n4/case_017_multicore_res.json
case_017,1,5,36065,162810,4.5143,self,5,results/final_plans_mono/p1/n5/case_017_multicore_res.json
case_017,2,1,162810,162810,1.0,self,1,results/final_plans_mono/p2/n1/case_017_multicore_res.json
case_017,2,2,71293,162810,2.2837,self,2,results/final_plans_mono/p2/n2/case_017_multicore_res.json
case_017,2,3,44420,162810,3.6652,self,3,results/final_plans_mono/p2/n3/case_017_multicore_res.json
case_017,2,4,35734,162810,4.5562,self,4,results/final_plans_mono/p2/n4/case_017_multicore_res.json
case_017,2,5,29386,162810,5.5404,self,5,results/final_plans_mono/p2/n5/case_017_multicore_res.json
case_017,3,1,162810,162810,1.0,self,1,results/final_plans_mono/p3/n1/case_017_multicore_res.json
case_017,3,2,71293,162810,2.2837,self,2,results/final_plans_mono/p3/n2/case_017_multicore_res.json
case_017,3,3,44420,162810,3.6652,self,3,results/final_plans_mono/p3/n3/case_017_multicore_res.json
case_017,3,4,35734,162810,4.5562,self,4,results/final_plans_mono/p3/n4/case_017_multicore_res.json
case_017,3,5,29386,162810,5.5404,self,5,results/final_plans_mono/p3/n5/case_017_multicore_res.json
case_018,1,1,1004367,1004367,1.0,self,1,results/final_plans_mono/p1/n1/case_018_multicore_res.json
case_018,1,2,505446,1004367,1.9871,self,2,results/final_plans_mono/p1/n2/case_018_multicore_res.json
case_018,1,3,338456,1004367,2.9675,self,3,results/final_plans_mono/p1/n3/case_018_multicore_res.json
case_018,1,4,254677,1004367,3.9437,self,4,results/final_plans_mono/p1/n4/case_018_multicore_res.json
case_018,1,5,204554,1004367,4.91,self,5,results/final_plans_mono/p1/n5/case_018_multicore_res.json
case_018,2,1,1004367,1004367,1.0,self,1,results/final_plans_mono/p2/n1/case_018_multicore_res.json
case_018,2,2,505446,1004367,1.9871,self,2,results/final_plans_mono/p2/n2/case_018_multicore_res.json
case_018,2,3,338456,1004367,2.9675,self,3,results/final_plans_mono/p2/n3/case_018_multicore_res.json
case_018,2,4,254778,1004367,3.9421,self,4,results/final_plans_mono/p2/n4/case_018_multicore_res.json
case_018,2,5,204554,1004367,4.91,self,5,results/final_plans_mono/p2/n5/case_018_multicore_res.json
case_018,3,1,1003110,1004367,1.0013,self,1,results/final_plans_mono/p3/n1/case_018_multicore_res.json
case_018,3,2,503076,1004367,1.9965,self,2,results/final_plans_mono/p3/n2/case_018_multicore_res.json
case_018,3,3,337587,1004367,2.9751,self,3,results/final_plans_mono/p3/n3/case_018_multicore_res.json
case_018,3,4,252790,1004367,3.9731,self,4,results/final_plans_mono/p3/n4/case_018_multicore_res.json
case_018,3,5,204343,1004367,4.9151,self,5,results/final_plans_mono/p3/n5/case_018_multicore_res.json
