eval_problem,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path,proxy_fallback,case,problem,num_cores,mono_fix
2,capls,c14,0,0.101,0.134,True,83319,442368,442368.0,0.0,1234944.0,,,777,392357,,4.709093964161836,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p2_n5_capls_best.json,False,case_004,2,5,False
3,capls,s2,2,0.127,0.146,True,195960,1382400,110592.0,1271808.0,2174976.0,0.1670644391408114,215040.0,777,392357,,2.0022300469483567,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p3_n2_capls_best.json,False,case_004,3,2,False
3,capls,c14,0,0.1,0.131,True,130725,221184,221184.0,0.0,1013760.0,0.0,0.0,777,392357,,3.001392235609103,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p3_n3_capls_best.json,False,case_004,3,3,False
3,capls,c14,0,0.103,0.134,True,100126,331776,331776.0,0.0,1124352.0,0.1411764705882353,110592.0,777,392357,,3.9186325230209937,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p3_n4_capls_best.json,False,case_004,3,4,False
3,capls,c14,0,0.103,0.105,True,83319,442368,442368.0,0.0,1234944.0,0.0,0.0,777,392357,,4.709093964161836,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p3_n5_capls_best.json,False,case_004,3,5,False
1,capls,sa1,0,0.862,0.842,True,68676,1009752,1009752.0,0.0,1343166.0,,,21,95618,,1.392305900168909,"{""anneal"": true}",True,results\plans\case_005_p1_n2_capls_best.json,False,case_005,1,2,False
1,capls,sa2,0,0.925,0.921,True,55517,1143334,1143334.0,0.0,1476748.0,,,21,95618,,1.7223192895869734,"{""anneal"": true}",True,results\plans\case_005_p1_n3_capls_best.json,False,case_005,1,3,False
1,capls,mono_embed_n3,0,0.138,1.006,True,55517,1143334,1143334.0,0.0,1476748.0,,,21,95618,,1.7223192895869734,"{""block_cap"": 0.35, ""cores_used"": 3}",True,results/final_plans_mono/p1/n4/case_005_multicore_res.json,False,case_005,1,4,True
1,capls,mono_embed_n3,0,0.49,1.428,True,55517,1143334,1143334.0,0.0,1476748.0,,,21,95618,,1.7223192895869734,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",True,results/final_plans_mono/p1/n5/case_005_multicore_res.json,False,case_005,1,5,True
2,capls,c14,0,0.457,0.952,True,52975,477222,477222.0,0.0,810636.0,,,4113,95618,,1.804964605946201,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_005_p2_n2_capls_best.json,False,case_005,2,2,False
2,capls,s15,15,0.637,0.911,True,38285,801420,801420.0,0.0,1134834.0,,,4113,95618,,2.4975316703669845,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_005_p2_n3_capls_best.json,False,case_005,2,3,False
2,capls,mono_embed_n3,2,0.599,0.872,True,38285,801420,801420.0,0.0,1134834.0,,,4113,95618,,2.4975316703669845,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results/final_plans_mono/p2/n4/case_005_multicore_res.json,False,case_005,2,4,True
2,capls,mono_embed_n3,0,0.752,0.638,True,38285,801420,801420.0,0.0,1134834.0,,,4113,95618,,2.4975316703669845,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results/final_plans_mono/p2/n5/case_005_multicore_res.json,False,case_005,2,5,True
3,capls,c14,0,0.493,0.954,True,52945,477222,477222.0,0.0,810636.0,0.1775340378567382,109062.0,4113,95618,,1.8059873453583908,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_005_p3_n2_capls_best.json,False,case_005,3,2,False
