case,problem,num_cores,makespan,speedup,added_copy_bytes,cache_hit_rate,n_subgraphs,plan
case_011,2,3,65543,2.818,1200128,,6,results\final_plans\p2\n3\case_011_multicore_res.json
case_011,2,4,46880,3.9398,540672,,4,results\final_plans\p2\n4\case_011_multicore_res.json
case_011,2,5,40551,4.5547,1650688,,9,results\final_plans\p2\n5\case_011_multicore_res.json
case_011,3,2,92646,1.9936,180224,0.0,2,results\final_plans\p3\n2\case_011_multicore_res.json
case_011,3,3,65543,2.818,1200128,0.3946629213483146,6,results\final_plans\p3\n3\case_011_multicore_res.json
case_011,3,4,46880,3.9398,540672,0.0,4,results\final_plans\p3\n4\case_011_multicore_res.json
case_011,3,5,40551,4.5547,1650688,0.35280898876404493,9,results\final_plans\p3\n5\case_011_multicore_res.json
case_012,1,2,29841,1.9801,0,,2,results\final_plans\p1\n2\case_012_multicore_res.json
case_012,1,3,21665,2.7273,0,,3,results\final_plans\p1\n3\case_012_multicore_res.json
case_012,1,4,18774,3.1473,0,,4,results\final_plans\p1\n4\case_012_multicore_res.json
case_012,1,5,18241,3.2393,101380,,10,results\final_plans\p1\n5\case_012_multicore_res.json
case_012,2,2,29409,2.0092,0,,25,results\final_plans\p2\n2\case_012_multicore_res.json
case_012,2,3,20728,2.8506,156366,,7,results\final_plans\p2\n3\case_012_multicore_res.json
case_012,2,4,17428,3.3904,156658,,10,results\final_plans\p2\n4\case_012_multicore_res.json
case_012,2,5,13832,4.2718,0,,5,results\final_plans\p2\n5\case_012_multicore_res.json
case_012,3,2,29409,2.0092,0,0.0,25,results\final_plans\p3\n2\case_012_multicore_res.json
case_012,3,3,20579,2.8713,258886,0.31046162912699965,9,results\final_plans\p3\n3\case_012_multicore_res.json
case_012,3,4,16805,3.5161,156658,0.21010371681077966,10,results\final_plans\p3\n4\case_012_multicore_res.json
case_012,3,5,13832,4.2718,0,0.0,5,results\final_plans\p3\n5\case_012_multicore_res.json
case_013,1,2,132198,1.9966,8192,,2,results\final_plans\p1\n2\case_013_multicore_res.json
case_013,1,3,88351,2.9875,16384,,3,results\final_plans\p1\n3\case_013_multicore_res.json
case_013,1,4,66982,3.9406,24576,,4,results\final_plans\p1\n4\case_013_multicore_res.json
case_013,1,5,54363,4.8553,32768,,5,results\final_plans\p1\n5\case_013_multicore_res.json
case_013,2,2,132198,1.9966,8192,,2,results\final_plans\p2\n2\case_013_multicore_res.json
case_013,2,3,88351,2.9875,16384,,3,results\final_plans\p2\n3\case_013_multicore_res.json
case_013,2,4,66982,3.9406,24576,,4,results\final_plans\p2\n4\case_013_multicore_res.json
case_013,2,5,54363,4.8553,32768,,5,results\final_plans\p2\n5\case_013_multicore_res.json
case_013,3,2,132198,1.9966,8192,0.0,2,results\final_plans\p3\n2\case_013_multicore_res.json
case_013,3,3,88351,2.9875,16384,0.0,3,results\final_plans\p3\n3\case_013_multicore_res.json
case_013,3,4,66982,3.9406,24576,0.0,4,results\final_plans\p3\n4\case_013_multicore_res.json
case_013,3,5,54363,4.8553,32768,0.0,5,results\final_plans\p3\n5\case_013_multicore_res.json
case_014,1,2,8838781,2.0024,86154144,,69,results\final_plans\p1\n2\case_014_multicore_res.json
case_014,1,3,5979998,2.9596,81345584,,46,results\final_plans\p1\n3\case_014_multicore_res.json
case_014,1,4,4543341,3.8955,90386328,,4,results\final_plans\p1\n4\case_014_multicore_res.json
case_014,1,5,3722693,4.7543,70838688,,5,results\final_plans\p1\n5\case_014_multicore_res.json
case_014,2,2,8904271,1.9877,76033440,,2,results\final_plans\p2\n2\case_014_multicore_res.json
case_014,2,3,5933771,2.9827,80019536,,46,results\final_plans\p2\n3\case_014_multicore_res.json
case_014,2,4,4511152,3.9233,87805200,,59,results\final_plans\p2\n4\case_014_multicore_res.json
case_014,2,5,3643563,4.8575,60562848,,5,results\final_plans\p2\n5\case_014_multicore_res.json
case_014,3,2,8896369,1.9894,76033440,0.18956938266777457,2,results\final_plans\p3\n2\case_014_multicore_res.json
case_014,3,3,5881266,3.0093,80019536,0.3385154295855885,46,results\final_plans\p3\n3\case_014_multicore_res.json
case_014,3,4,4453421,3.9742,87805200,0.3766237285396611,59,results\final_plans\p3\n4\case_014_multicore_res.json
case_014,3,5,3632901,4.8718,60562848,0.18517316212700338,5,results\final_plans\p3\n5\case_014_multicore_res.json
case_015,1,2,88439,2.0055,216336,,2,results\final_plans\p1\n2\case_015_multicore_res.json
case_015,1,3,61168,2.8996,290056,,3,results\final_plans\p1\n3\case_015_multicore_res.json
case_015,1,4,53029,3.3446,248832,,4,results\final_plans\p1\n4\case_015_multicore_res.json
case_015,1,5,53029,3.3446,248832,,4,results\final_plans\p1\n5\case_015_multicore_res.json
case_015,2,2,86629,2.0474,109824,,46,results\final_plans\p2\n2\case_015_multicore_res.json
case_015,2,3,60925,2.9112,965264,,9,results\final_plans\p2\n3\case_015_multicore_res.json
case_015,2,4,49047,3.6162,661084,,8,results\final_plans\p2\n4\case_015_multicore_res.json
case_015,2,5,42014,4.2215,317952,,5,results\final_plans\p2\n5\case_015_multicore_res.json
case_015,3,2,86629,2.0474,109824,0.11045291892033238,46,results\final_plans\p3\n2\case_015_multicore_res.json
