case,problem,num_cores,match,cli_makespan,expected_makespan,cli_added_copy_bytes,expected_added_copy_bytes,cli_hit_rate,expected_hit_rate,cli_seconds,error
case_050,1,2,True,117878,117878,581308,581308,,,1.3,
case_051,1,2,True,607628,607628,0,0,,,0.5,
case_052,1,2,True,88782,88782,342066,342066,,,0.4,
case_053,1,2,True,758976,758976,5121886,5121886,,,8.4,
case_054,1,2,True,510285,510285,1292256,1292256,,,11.4,
case_055,1,2,True,57684,57684,220350,220350,,,0.5,
case_056,1,2,True,158608,158608,1641806,1641806,,,1.8,
case_057,1,2,True,33614,33614,0,0,,,0.4,
case_058,1,2,True,2266429,2266429,33689600,33689600,,,304.1,
case_059,1,2,True,369318,369318,360448,360448,,,1.2,
case_060,1,2,True,452002,452002,2724108,2724108,,,10.2,
case_061,1,2,True,38873,38873,25344,25344,,,0.4,
case_062,1,2,True,1429373,1429373,21361152,21361152,,,267.2,
case_063,1,2,True,537888,537888,76800,76800,,,15.9,
case_064,1,2,True,19071,19071,21060,21060,,,0.3,
case_065,1,2,True,22981,22981,110228,110228,,,0.3,
case_066,1,2,True,230062,230062,2000906,2000906,,,1.4,
case_067,1,2,True,32441828,32441828,267900160,267900160,,,47.1,
case_068,1,2,True,249377,249377,3519460,3519460,,,1.2,
case_069,1,2,True,23844,23844,803334,803334,,,0.4,
case_070,1,2,True,58469,58469,88064,88064,,,0.5,
case_071,1,2,True,17677,17677,118178,118178,,,0.3,
case_072,1,2,True,11672534,11672534,88018992,88018992,,,69.3,
case_073,1,2,True,5394231,5394231,137954176,137954176,,,6.8,
case_074,1,2,True,826937,826937,6590472,6590472,,,4.7,
case_075,1,2,True,848258,848258,7472044,7472044,,,2.3,
case_076,1,2,True,3067395,3067395,28306440,28306440,,,67.3,
case_077,1,2,True,250735,250735,57344,57344,,,3.6,
case_078,1,2,True,1080972,1080972,15039360,15039360,,,0.3,
case_079,1,2,True,14723450,14723450,36765696,36765696,,,10.3,
case_080,1,2,True,145926,145926,2191360,2191360,,,0.6,
case_081,1,2,True,76860,76860,0,0,,,2.1,
case_082,1,2,True,509781,509781,3014040,3014040,,,1.2,
case_083,1,2,True,542602,542602,21362560,21362560,,,1.1,
case_084,1,2,True,1252724,1252724,4967424,4967424,,,36.2,
case_085,1,2,True,3048236,3048236,15641984,15641984,,,8.1,
case_086,1,2,True,88853,88853,1837042,1837042,,,1.3,
case_087,1,2,True,1993185,1993185,8248320,8248320,,,633.5,
case_088,1,2,True,168809,168809,2064350,2064350,,,0.9,
case_089,1,2,True,346763,346763,556160,556160,,,3.7,
case_090,1,2,True,670035,670035,4295328,4295328,,,0.5,
case_091,1,2,True,4592279,4592279,61042308,61042308,,,84.6,
case_092,1,2,True,2200120,2200120,16871008,16871008,,,17.8,
case_093,1,2,True,37827,37827,8192,8192,,,0.3,
case_094,1,2,True,47453,47453,106272,106272,,,0.3,
case_095,1,2,True,1042787,1042787,8515584,8515584,,,4.9,
case_096,1,2,True,44237,44237,0,0,,,0.4,
case_097,1,2,True,5156692,5156692,11927552,11927552,,,2.3,
case_098,1,2,True,106182,106182,1847330,1847330,,,0.4,
case_099,1,2,True,810196,810196,7315456,7315456,,,17.8,
case_100,1,2,True,90879,90879,1364804,1364804,,,0.4,
case_001,1,3,True,78545,78545,2304,2304,,,0.3,
case_002,1,3,True,90573,90573,55296,55296,,,0.6,
case_003,1,3,True,280031,280031,3040688,3040688,,,3.4,
case_004,1,3,True,134043,134043,221184,221184,,,0.3,
case_005,1,3,True,55517,55517,1143334,1143334,,,1.2,
case_006,1,3,True,36031,36031,363168,363168,,,0.3,
case_007,1,3,True,338094,338094,55296,55296,,,1.7,
case_008,1,3,True,163256,163256,1327104,1327104,,,0.4,
case_009,1,3,True,88247,88247,699372,699372,,,1.2,
case_010,1,3,True,35952,35952,1076548,1076548,,,0.3,
case_011,1,3,True,68437,68437,1241088,1241088,,,0.3,
case_012,1,3,True,21365,21365,87136,87136,,,0.4,
case_013,1,3,True,88351,88351,16384,16384,,,0.9,
case_014,1,3,True,5979998,5979998,81345584,81345584,,,1794.2,
case_015,1,3,True,61168,61168,290056,290056,,,0.5,
case_016,1,3,True,7715523,7715523,0,0,,,129.0,
case_017,1,3,True,57095,57095,163584,163584,,,0.6,
case_018,1,3,True,338456,338456,3903872,3903872,,,1.9,
case_019,1,3,True,30948,30948,251444,251444,,,0.3,
case_020,1,3,True,177950,177950,0,0,,,2.6,
case_021,1,3,True,2110025,2110025,7229440,7229440,,,4.6,
case_022,1,3,True,19800,19800,0,0,,,0.6,
case_023,1,3,True,41575,41575,147456,147456,,,0.4,
case_024,1,3,True,2473380,2473380,61410808,61410808,,,2.6,
case_025,1,3,True,1622164,1622164,55296,55296,,,101.9,
case_026,1,3,True,47309,47309,1212616,1212616,,,0.3,
case_027,1,3,True,793160,793160,6346752,6346752,,,0.8,
case_028,1,3,True,14792144,14792144,326568960,326568960,,,4.6,
case_029,1,3,True,12743,12743,0,0,,,0.3,
case_030,1,3,True,931329,931329,9363456,9363456,,,61.4,
