case,problem,num_cores,label,feasible,makespan,added_copy_bytes,speedup,cached,is_champion,error
case_001,2,3,x3_c14,True,82556,2304,2.8237,True,False,
case_001,2,3,x3_c15,True,84296,51456,2.7654,True,False,
case_001,2,3,x3_c16,True,82556,2304,2.8237,True,False,
case_001,2,3,x3_c17,True,82556,2304,2.8237,True,False,
case_001,2,3,x3_c2,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c3,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c4,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c5,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c6,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c7,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c8,True,97680,1648896,2.3865,True,False,
case_001,2,3,x3_c9,True,78545,2304,2.9679,True,False,
case_001,2,4,a_full,True,58984,3456,3.9521,True,True,
case_001,2,4,a_no_balance,True,58984,3456,3.9521,True,False,
case_001,2,4,a_no_cache_aware,True,58984,3456,3.9521,True,False,
case_001,2,4,a_no_comm,True,61188,138624,3.8097,True,False,
case_001,2,4,a_no_level,True,58984,3456,3.9521,True,False,
case_001,2,4,a_no_localsearch,True,58984,3456,3.9521,True,False,
case_001,2,4,a_no_sync,True,58984,3456,3.9521,True,False,
case_001,2,4,b_balance,True,69086,187776,3.3742,True,False,
case_001,2,4,b_comm,True,58984,3456,3.9521,True,False,
case_001,2,4,b_random,True,163560,2514304,1.4252,True,False,
case_001,2,4,b_topo,True,65770,187776,3.5443,True,False,
case_001,2,4,c0,True,58984,3456,3.9521,True,False,
case_001,2,4,c1,True,58984,3456,3.9521,True,False,
case_001,2,4,c10,True,78545,2304,2.9679,True,False,
case_001,2,4,c11,True,58984,3456,3.9521,True,False,
case_001,2,4,c12,True,58984,3456,3.9521,True,False,
case_001,2,4,c13,True,58984,3456,3.9521,True,False,
case_001,2,4,c14,True,65608,3456,3.5531,True,False,
case_001,2,4,c15,True,67816,36224,3.4374,True,False,
case_001,2,4,c16,True,65608,3456,3.5531,True,False,
case_001,2,4,c17,True,65608,3456,3.5531,True,False,
case_001,2,4,c2,True,58984,3456,3.9521,True,False,
case_001,2,4,c3,True,58984,3456,3.9521,True,False,
case_001,2,4,c4,True,58984,3456,3.9521,True,False,
case_001,2,4,c5,True,58984,3456,3.9521,True,False,
case_001,2,4,c6,True,58984,3456,3.9521,True,False,
case_001,2,4,c7,True,58984,3456,3.9521,True,False,
case_001,2,4,c8,True,81577,1846656,2.8575,True,False,
case_001,2,4,c9,True,58984,3456,3.9521,True,False,
case_001,2,4,cross_from_p3,True,58984,3456,3.9521,True,False,
case_001,2,4,embed_n3,True,78545,2304,2.9679,True,False,
case_001,2,4,g_0.03,True,58984,3456,3.9521,True,False,
case_001,2,4,g_0.06,True,58984,3456,3.9521,True,False,
case_001,2,4,g_0.12,True,58984,3456,3.9521,True,False,
case_001,2,4,g_0.25,True,58984,3456,3.9521,True,False,
case_001,2,4,g_0.5,True,58984,3456,3.9521,True,False,
case_001,2,4,g_1.0,True,58984,3456,3.9521,True,False,
case_001,2,4,g_2.0,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c0,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c1,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c10,True,78545,2304,2.9679,True,False,
case_001,2,4,x3_c11,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c12,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c13,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c14,True,65608,3456,3.5531,True,False,
case_001,2,4,x3_c15,True,67816,36224,3.4374,True,False,
case_001,2,4,x3_c16,True,65608,3456,3.5531,True,False,
case_001,2,4,x3_c17,True,65608,3456,3.5531,True,False,
case_001,2,4,x3_c2,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c3,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c4,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c5,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c6,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c7,True,58984,3456,3.9521,True,False,
case_001,2,4,x3_c8,True,81577,1846656,2.8575,True,False,
case_001,2,4,x3_c9,True,58984,3456,3.9521,True,False,
case_001,2,5,a_full,True,47502,4608,4.9074,True,True,
case_001,2,5,a_no_balance,True,47502,4608,4.9074,True,False,
case_001,2,5,a_no_cache_aware,True,47502,4608,4.9074,True,False,
case_001,2,5,a_no_comm,True,51538,176640,4.5231,True,False,
case_001,2,5,a_no_level,True,47502,4608,4.9074,True,False,
case_001,2,5,a_no_localsearch,True,47502,4608,4.9074,True,False,
case_001,2,5,a_no_sync,True,47502,4608,4.9074,True,False,
case_001,2,5,b_balance,True,47502,4608,4.9074,True,False,
case_001,2,5,b_comm,True,47502,4608,4.9074,True,False,
case_001,2,5,b_random,True,158510,2929152,1.4706,True,False,
case_001,2,5,b_topo,True,47502,4608,4.9074,True,False,
case_001,2,5,c0,True,47502,4608,4.9074,True,False,
case_001,2,5,c1,True,47502,4608,4.9074,True,False,
case_001,2,5,c10,True,58984,3456,3.9521,True,False,
case_001,2,5,c11,True,47502,4608,4.9074,True,False,
case_001,2,5,c12,True,47502,4608,4.9074,True,False,
case_001,2,5,c13,True,47502,4608,4.9074,True,False,
case_001,2,5,c14,True,55782,4608,4.1789,True,False,
case_001,2,5,c15,True,58542,45568,3.9819,True,False,
case_001,2,5,c16,True,55782,4608,4.1789,True,False,
case_001,2,5,c17,True,55782,4608,4.1789,True,False,
case_001,2,5,c2,True,47502,4608,4.9074,True,False,
case_001,2,5,c3,True,47502,4608,4.9074,True,False,
case_001,2,5,c4,True,47502,4608,4.9074,True,False,
case_001,2,5,c5,True,47502,4608,4.9074,True,False,
case_001,2,5,c6,True,47502,4608,4.9074,True,False,
case_001,2,5,c7,True,47502,4608,4.9074,True,False,
case_001,2,5,c8,True,81666,1847808,2.8544,True,False,
case_001,2,5,c9,True,47502,4608,4.9074,True,False,
case_001,2,5,cross_from_p3,True,47502,4608,4.9074,True,False,
case_001,2,5,embed_n4,True,58984,3456,3.9521,True,False,
case_001,2,5,g_0.03,True,47502,4608,4.9074,True,False,
case_001,2,5,g_0.06,True,47502,4608,4.9074,True,False,
case_001,2,5,g_0.12,True,47502,4608,4.9074,True,False,
case_001,2,5,g_0.25,True,47502,4608,4.9074,True,False,
case_001,2,5,g_0.5,True,47502,4608,4.9074,True,False,
case_001,2,5,g_1.0,True,47502,4608,4.9074,True,False,
case_001,2,5,g_2.0,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c0,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c1,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c10,True,58984,3456,3.9521,True,False,
case_001,2,5,x3_c11,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c12,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c13,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c14,True,55782,4608,4.1789,True,False,
case_001,2,5,x3_c15,True,58542,45568,3.9819,True,False,
case_001,2,5,x3_c16,True,55782,4608,4.1789,True,False,
case_001,2,5,x3_c17,True,55782,4608,4.1789,True,False,
case_001,2,5,x3_c2,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c3,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c4,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c5,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c6,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c7,True,47502,4608,4.9074,True,False,
case_001,2,5,x3_c8,True,73418,1933824,3.1751,True,False,
case_001,2,5,x3_c9,True,47502,4608,4.9074,True,False,
case_001,3,2,a_full,True,116868,1152,1.9946,True,True,
case_001,3,2,a_no_balance,True,116868,1152,1.9946,True,False,
case_001,3,2,a_no_cache_aware,True,116868,1152,1.9946,True,False,
case_001,3,2,a_no_comm,True,119765,38016,1.9464,True,False,
case_001,3,2,a_no_level,True,116868,1152,1.9946,True,False,
case_001,3,2,a_no_localsearch,True,116868,1152,1.9946,True,False,
case_001,3,2,a_no_sync,True,116868,1152,1.9946,True,False,
case_001,3,2,b_balance,True,116868,1152,1.9946,True,False,
case_001,3,2,b_comm,True,116868,1152,1.9946,True,False,
case_001,3,2,b_random,True,197934,1733760,1.1777,True,False,
case_001,3,2,b_topo,True,116868,1152,1.9946,True,False,
case_001,3,2,c0,True,116868,1152,1.9946,True,False,
case_001,3,2,c1,True,116868,1152,1.9946,True,False,
case_001,3,2,c10,True,233110,0,1.0,True,False,
case_001,3,2,c11,True,116868,1152,1.9946,True,False,
case_001,3,2,c12,True,116868,1152,1.9946,True,False,
case_001,3,2,c13,True,116868,1152,1.9946,True,False,
case_001,3,2,c14,True,120180,99456,1.9397,True,False,
case_001,3,2,c15,True,121284,132224,1.922,True,False,
case_001,3,2,c16,True,120180,99456,1.9397,True,False,
case_001,3,2,c17,True,120180,99456,1.9397,True,False,
case_001,3,2,c2,True,116868,1152,1.9946,True,False,
case_001,3,2,c3,True,116868,1152,1.9946,True,False,
case_001,3,2,c4,True,116868,1152,1.9946,True,False,
case_001,3,2,c5,True,116868,1152,1.9946,True,False,
case_001,3,2,c6,True,116868,1152,1.9946,True,False,
case_001,3,2,c7,True,116868,1152,1.9946,True,False,
case_001,3,2,c8,True,131999,1229952,1.766,True,False,
case_001,3,2,c9,True,116868,1152,1.9946,True,False,
