case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,3,2,3,capls,_best,0,0.039,0.098,True,78545,2304,2304,0,1641856,,,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n3_capls_best.json
case_001,3,3,3,capls,_best,0,0.039,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n3_capls_best.json
case_004,3,3,3,capls,c0,0,0.074,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.35}",True,
case_004,3,3,3,capls,c1,0,0.058,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.15}",False,
case_004,3,3,3,capls,c2,0,0.064,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_004,3,3,3,capls,c3,0,0.069,0.088,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_004,3,3,3,capls,c4,0,0.047,0.081,True,134043,221184,221184,0,1013760,0.0,0,111,392357,,2.927098020784375,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_004,3,3,3,capls,c5,0,0.064,0.081,True,134043,221184,221184,0,1013760,0.0,0,111,392357,,2.927098020784375,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_004,3,3,3,capls,c6,0,0.07,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_004,3,3,3,capls,c7,0,0.048,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.08}",False,
case_004,3,3,3,capls,c8,0,0.104,0.219,True,137493,3158016,2949120,208896,3950592,0.15953307392996108,377856,7,392357,,2.8536507313099575,"{""block_cap"": 0.005}",False,
case_004,3,3,3,capls,c9,0,0.05,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_004,3,3,3,capls,c10,0,0.028,0.126,True,199074,110592,110592,0,903168,0.0,0,2,392357,,1.9709103147573264,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_004,3,3,3,capls,c11,0,0.038,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_004,3,2,3,capls,_best,0,0.047,0.103,True,134043,221184,221184,0,1013760,,,3,392357,,2.927098020784375,"{""block_cap"": 0.35}",True,results\plans\case_004_p3_n3_capls_best.json
case_004,3,3,3,capls,_best,0,0.047,0.127,True,134043,221184,221184,0,1013760,0.0,0,3,392357,,2.927098020784375,"{""block_cap"": 0.35}",True,results\plans\case_004_p3_n3_capls_best.json
case_001,3,3,4,capls,c0,0,0.074,0.076,True,58984,3456,3456,0,1643008,0.0,0,4,233110,,3.952088702020887,"{""block_cap"": 0.35}",True,
