case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_089,1,1,5,comm,,0,0.041,2.106,True,210236,9310080,9310080,0,9876480,,,40,693092,,3.2967331950760097
case_089,2,2,5,random,,0,0.503,1.14,True,632604,4993544,4993544,0,5559944,,,25,693092,,1.0956174794974423
case_089,2,2,5,topo,,0,0.017,0.609,True,147432,954880,954880,0,1521280,,,20,693092,,4.701096098540344
case_089,2,2,5,balance,,0,0.015,0.609,True,147432,954880,954880,0,1521280,,,20,693092,,4.701096098540344
case_089,2,2,5,comm,,0,0.027,0.852,True,147432,954880,954880,0,1521280,,,40,693092,,4.701096098540344
case_089,3,3,2,random,,0,0.075,1.359,True,655531,1476608,1476608,0,2043008,0.18859871964231278,237568,10,693092,,1.0572985869470704
case_089,3,3,2,topo,,0,0.022,0.837,True,346832,238720,238720,0,805120,0.0,0,8,693092,,1.998350786547954
case_089,3,3,2,balance,,0,0.016,0.837,True,346832,238720,238720,0,805120,0.0,0,8,693092,,1.998350786547954
case_089,3,3,2,comm,,0,0.027,2.14,True,346832,238720,238720,0,805120,0.0,0,40,693092,,1.998350786547954
case_089,1,1,3,random,,0,0.081,1.19,True,698560,4513992,4513992,0,5080392,,,16,693092,,0.9921724690792487
case_089,1,1,3,topo,,0,0.032,1.038,True,707352,2799488,2799488,0,3365888,,,12,693092,,0.9798403058166231
case_089,1,1,3,balance,,0,0.016,1.431,True,704652,2799488,2799488,0,3365888,,,12,693092,,0.9835947389633465
case_089,1,1,3,comm,,0,0.028,1.19,True,260608,9310080,9310080,0,9876480,,,40,693092,,2.6595192779960706
case_089,1,1,4,random,,0,0.056,1.292,True,700355,5483976,5483976,0,6050376,,,20,693092,,0.989629545016456
case_089,1,1,4,topo,,0,0.016,0.886,True,712891,3810688,3810688,0,4377088,,,16,693092,,0.9722271707736526
case_089,1,1,4,balance,,0,0.015,1.468,True,711991,3810688,3810688,0,4377088,,,16,693092,,0.9734561251476493
case_089,1,1,4,comm,,0,0.029,2.391,True,223700,9310080,9310080,0,9876480,,,40,693092,,3.098310236924452
case_089,2,2,3,random,,0,0.049,0.821,True,654662,3068240,3068240,0,3634640,,,16,693092,,1.0587020477742712
