case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_073,3,3,4,capls,0.03,0,0.296,1.969,True,3712368,115612288,13346944,102265344,119653376,0.19103211437353745,22528512,77,10081626,,2.7156860526758124
case_073,3,3,4,capls,0.06,0,0.304,1.969,True,3712368,115612288,13346944,102265344,119653376,0.19103211437353745,22528512,77,10081626,,2.7156860526758124
case_073,3,3,4,capls,0.12,0,0.181,1.016,True,3903787,140222208,11164800,129057408,144263296,0.0,0,4,10081626,,2.5825246100773427
case_073,3,3,4,capls,0.25,0,0.179,1.016,True,3903787,140222208,11164800,129057408,144263296,0.0,0,4,10081626,,2.5825246100773427
case_073,3,3,4,capls,0.5,0,0.189,1.016,True,3903787,140222208,11164800,129057408,144263296,0.0,0,4,10081626,,2.5825246100773427
case_073,3,3,4,capls,1.0,0,0.206,1.016,True,3903787,140222208,11164800,129057408,144263296,0.0,0,4,10081626,,2.5825246100773427
case_073,3,3,4,capls,2.0,0,0.181,1.016,True,3903787,140222208,11164800,129057408,144263296,0.0,0,4,10081626,,2.5825246100773427
case_035,1,1,4,capls,0.03,0,0.641,1.146,True,163625,2286914,2286914,0,2697768,,,211,169571,,1.036339190221543
case_035,1,1,4,capls,0.06,0,0.745,1.64,True,187948,2153420,2153420,0,2564274,,,247,169571,,0.9022229552855044
case_035,1,1,4,capls,0.12,0,0.612,1.476,True,172222,2151928,2151928,0,2562782,,,248,169571,,0.9846070769123573
case_035,1,1,4,capls,0.25,0,0.403,1.441,True,118022,981134,981134,0,1391988,,,56,169571,,1.436774499669553
case_035,1,1,4,capls,0.5,0,0.386,1.441,True,118022,981134,981134,0,1391988,,,56,169571,,1.436774499669553
case_035,1,1,4,capls,1.0,0,0.388,1.441,True,118022,981134,981134,0,1391988,,,56,169571,,1.436774499669553
case_035,1,1,4,capls,2.0,0,0.418,1.441,True,118022,981134,981134,0,1391988,,,56,169571,,1.436774499669553
case_058,1,1,4,capls,0.03,0,0.934,166.404,True,1154519,42622976,19869696,22753280,50290688,,,4,4539717,,3.9321284448328697
case_058,1,1,4,capls,0.06,0,0.885,166.404,True,1154519,42622976,19869696,22753280,50290688,,,4,4539717,,3.9321284448328697
case_058,1,1,4,capls,0.12,0,0.87,166.404,True,1154519,42622976,19869696,22753280,50290688,,,4,4539717,,3.9321284448328697
case_058,1,1,4,capls,0.25,0,0.645,50.444,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_058,1,1,4,capls,0.5,0,0.704,50.444,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_058,1,1,4,capls,1.0,0,0.652,50.444,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_058,1,1,4,capls,2.0,0,0.686,50.444,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_058,2,2,4,capls,0.03,0,0.845,7.612,True,1154519,42622976,19869696,22753280,50290688,,,4,4539717,,3.9321284448328697
case_058,2,2,4,capls,0.06,0,0.893,7.612,True,1154519,42622976,19869696,22753280,50290688,,,4,4539717,,3.9321284448328697
case_058,2,2,4,capls,0.12,0,0.878,7.612,True,1154519,42622976,19869696,22753280,50290688,,,4,4539717,,3.9321284448328697
case_058,2,2,4,capls,0.25,0,0.65,6.887,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_058,2,2,4,capls,0.5,0,0.694,6.887,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_058,2,2,4,capls,1.0,0,0.663,6.887,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_058,2,2,4,capls,2.0,0,0.738,6.887,True,1408677,28954624,6082560,22872064,36622336,,,4,4539717,,3.2226812817984536
case_066,3,3,4,capls,0.03,0,0.999,2.417,True,181988,4430012,4430012,0,5537046,0.38670750242085977,1447242,110,359070,,1.9730421786051828
case_066,3,3,4,capls,0.06,0,1.0,2.486,True,167347,4567804,4567804,0,5674838,0.3789100513664732,1454666,109,359070,,2.1456614101238745
case_066,3,3,4,capls,0.12,0,0.583,2.283,True,178983,4484762,4484762,0,5591796,0.4165433113095461,1579768,109,359070,,2.0061681835705065
case_066,3,3,4,capls,0.25,0,0.611,2.283,True,178983,4484762,4484762,0,5591796,0.4165433113095461,1579768,109,359070,,2.0061681835705065
case_066,3,3,4,capls,0.5,0,0.36,1.764,True,157012,1998906,1998906,0,3105940,0.3807225193729421,902138,40,359070,,2.2868952691514024
case_066,3,3,4,capls,1.0,0,0.343,1.764,True,157012,1998906,1998906,0,3105940,0.3807225193729421,902138,40,359070,,2.2868952691514024
case_066,3,3,4,capls,2.0,0,0.239,1.558,True,249179,198740,198740,0,1305774,0.04876671516663202,56308,6,359070,,1.4410122843417783
case_058,3,3,4,capls,0.03,0,0.961,8.576,True,1142629,42622976,19869696,22753280,50290688,0.2689844464775846,13246464,4,4539717,,3.973045494206781
case_058,3,3,4,capls,0.06,0,0.936,8.576,True,1142629,42622976,19869696,22753280,50290688,0.2689844464775846,13246464,4,4539717,,3.973045494206781
case_058,3,3,4,capls,0.12,0,0.92,8.576,True,1142629,42622976,19869696,22753280,50290688,0.2689844464775846,13246464,4,4539717,,3.973045494206781
case_058,3,3,4,capls,0.25,0,0.678,7.158,True,1399475,28954624,6082560,22872064,36622336,0.04720239465807046,1679360,4,4539717,,3.2438714517944227
case_058,3,3,4,capls,0.5,0,0.715,7.158,True,1399475,28954624,6082560,22872064,36622336,0.04720239465807046,1679360,4,4539717,,3.2438714517944227
case_058,3,3,4,capls,1.0,0,0.703,7.158,True,1399475,28954624,6082560,22872064,36622336,0.04720239465807046,1679360,4,4539717,,3.2438714517944227
case_058,3,3,4,capls,2.0,0,0.732,7.158,True,1399475,28954624,6082560,22872064,36622336,0.04720239465807046,1679360,4,4539717,,3.2438714517944227
case_066,2,2,4,capls,0.03,0,1.406,2.146,True,209612,3199816,3199816,0,4306850,,,107,359070,,1.713022155220121
case_066,2,2,4,capls,0.06,0,1.29,2.144,True,206627,2941708,2941708,0,4048742,,,91,359070,,1.7377690234093317
case_066,2,2,4,capls,0.12,0,1.315,2.576,True,207999,3143050,3143050,0,4250084,,,99,359070,,1.7263063764729638
case_066,2,2,4,capls,0.25,0,1.336,2.576,True,207999,3143050,3143050,0,4250084,,,99,359070,,1.7263063764729638
case_066,2,2,4,capls,0.5,0,0.383,1.537,True,157767,1998906,1998906,0,3105940,,,40,359070,,2.2759512445568464
case_066,2,2,4,capls,1.0,0,0.385,1.537,True,157767,1998906,1998906,0,3105940,,,40,359070,,2.2759512445568464
case_066,2,2,4,capls,2.0,0,0.238,1.546,True,249304,198740,198740,0,1305774,,,6,359070,,1.4402897667105221
case_083,1,1,4,capls,0.03,0,0.256,1.096,True,496808,9185632,9185632,0,10623936,,,77,1057993,,2.1295812466787973
case_083,1,1,4,capls,0.06,0,0.261,1.096,True,496808,9185632,9185632,0,10623936,,,77,1057993,,2.1295812466787973
case_083,1,1,4,capls,0.12,0,0.289,1.096,True,496808,9185632,9185632,0,10623936,,,77,1057993,,2.1295812466787973
case_083,1,1,4,capls,0.25,0,0.162,1.541,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_083,1,1,4,capls,0.5,0,0.198,1.541,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_083,1,1,4,capls,1.0,0,0.153,1.541,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_083,1,1,4,capls,2.0,0,0.138,1.541,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_083,2,2,4,capls,0.03,0,0.288,1.182,True,283545,7579936,7321888,258048,9018240,,,77,1057993,,3.73130543652683
case_083,2,2,4,capls,0.06,0,0.255,1.182,True,283545,7579936,7321888,258048,9018240,,,77,1057993,,3.73130543652683
case_083,2,2,4,capls,0.12,0,0.258,1.182,True,283545,7579936,7321888,258048,9018240,,,77,1057993,,3.73130543652683
case_083,2,2,4,capls,0.25,0,0.149,0.819,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_083,2,2,4,capls,0.5,0,0.159,0.819,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_083,2,2,4,capls,1.0,0,0.143,0.819,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_083,2,2,4,capls,2.0,0,0.144,0.819,True,450029,14977600,2791200,12186400,16415904,,,4,1057993,,2.350944050272316
case_077,2,2,4,capls,0.03,0,0.744,1.434,True,185621,4077762,4077762,0,6219122,,,89,495320,,2.6684480743019376
case_077,2,2,4,capls,0.06,0,0.776,1.585,True,180536,3705984,3705984,0,5847344,,,91,495320,,2.7436079230735144
case_077,2,2,4,capls,0.12,0,0.786,1.397,True,190160,2766914,2766914,0,4908274,,,113,495320,,2.6047538914598234
case_077,2,2,4,capls,0.25,0,0.284,1.01,True,159109,1311196,1311196,0,3452556,,,38,495320,,3.11308599764941
case_077,2,2,4,capls,0.5,0,0.29,1.01,True,159109,1311196,1311196,0,3452556,,,38,495320,,3.11308599764941
case_077,2,2,4,capls,1.0,0,0.151,1.05,True,145044,172032,172032,0,2313392,,,4,495320,,3.4149637351424396
case_077,2,2,4,capls,2.0,0,0.193,1.05,True,145044,172032,172032,0,2313392,,,4,495320,,3.4149637351424396
case_083,3,3,4,capls,0.03,0,0.29,1.869,True,270819,7579936,7321888,258048,9018240,0.4331645569620253,2737600,77,1057993,,3.906642443846259
case_083,3,3,4,capls,0.06,0,0.268,1.869,True,270819,7579936,7321888,258048,9018240,0.4331645569620253,2737600,77,1057993,,3.906642443846259
case_083,3,3,4,capls,0.12,0,0.29,1.869,True,270819,7579936,7321888,258048,9018240,0.4331645569620253,2737600,77,1057993,,3.906642443846259
case_083,3,3,4,capls,0.25,0,0.206,0.777,True,333151,14977600,2791200,12186400,16415904,0.6425764561777388,10324096,4,1057993,,3.1757161167158436
case_083,3,3,4,capls,0.5,0,0.152,0.777,True,333151,14977600,2791200,12186400,16415904,0.6425764561777388,10324096,4,1057993,,3.1757161167158436
case_083,3,3,4,capls,1.0,0,0.164,0.777,True,333151,14977600,2791200,12186400,16415904,0.6425764561777388,10324096,4,1057993,,3.1757161167158436
case_083,3,3,4,capls,2.0,0,0.156,0.777,True,333151,14977600,2791200,12186400,16415904,0.6425764561777388,10324096,4,1057993,,3.1757161167158436
case_077,3,3,4,capls,0.03,0,1.022,1.162,True,187753,5137088,5137088,0,7278448,0.17932876438957582,918386,87,495320,,2.638146927079727
case_077,3,3,4,capls,0.06,0,0.814,1.257,True,179436,3705984,3705984,0,5847344,0.2394536811413994,1059924,91,495320,,2.7604271160748124
case_077,3,3,4,capls,0.12,0,0.792,1.579,True,187574,2766914,2766914,0,4908274,0.2570757611254281,1013914,113,495320,,2.640664484416817
