case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,3,3,3,capls,c13,0,0.028,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_001,3,3,3,capls,c14,0,0.077,0.094,True,82556,2304,2304,0,1641856,0.0,0,600,233110,,2.823659092010272,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,3,3,3,capls,c15,0,0.067,0.082,True,84296,51456,2304,49152,1691008,0.0,0,600,233110,,2.765374394989086,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,3,3,3,capls,c16,0,0.069,0.094,True,82556,2304,2304,0,1641856,0.0,0,600,233110,,2.823659092010272,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_001,3,3,3,capls,c17,0,0.068,0.094,True,82556,2304,2304,0,1641856,0.0,0,600,233110,,2.823659092010272,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_001,3,3,3,capls,s1,1,0.064,0.069,True,88090,2304,2304,0,1641856,0.0,0,600,233110,,2.6462708593483937,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 1, ""subgraph_mode"": ""op""}",False,
case_001,3,3,3,capls,s2,2,0.077,0.084,True,89347,2304,2304,0,1641856,0.0,0,600,233110,,2.6090411541517904,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 2, ""subgraph_mode"": ""op""}",False,
case_001,3,3,3,capls,s12,12,0.066,0.071,True,87824,2304,2304,0,1641856,0.0,0,600,233110,,2.654285844416105,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""seed"": 12, ""subgraph_mode"": ""op""}",False,
case_001,3,3,3,capls,_best,0,0.031,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35}",True,results\plans\case_001_p3_n3_capls_best.json
case_001,2,2,5,capls,c0,0,0.056,0.096,True,47502,4608,4608,0,1644160,,,5,233110,,4.9073723211654245,"{""block_cap"": 0.35}",True,
