case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_017,2,2,2,capls,c9,0,0.074,0.167,True,82066,81792,81792,0,725654,,,4,162810,,1.9838910145492652,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_017,2,2,2,capls,c10,0,0.029,0.287,True,162810,22528,0,22528,666390,,,1,162810,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
case_017,2,2,2,capls,c11,0,0.059,0.225,True,82310,81792,81792,0,725654,,,2,162810,,1.9780099623375045,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_017,2,2,2,capls,c12,0,0.054,0.232,True,85169,81792,81792,0,725654,,,2,162810,,1.9116110321830713,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_017,2,2,2,capls,c13,0,0.054,0.232,True,85169,81792,81792,0,725654,,,2,162810,,1.9116110321830713,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_017,2,2,2,capls,c14,0,0.237,0.345,True,71293,81792,81792,0,725654,,,1373,162810,,2.283674414037844,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,
case_017,2,2,2,capls,c15,0,0.221,0.233,True,71871,81792,81792,0,725654,,,1373,162810,,2.2653086780481697,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_017,2,2,2,capls,c16,0,0.202,0.284,True,75942,81792,81792,0,725654,,,1373,162810,,2.1438729556767004,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_017,2,2,2,capls,c17,0,0.218,0.345,True,71293,81792,81792,0,725654,,,1373,162810,,2.283674414037844,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_017,2,2,2,capls,_best,0,0.245,0.345,True,71293,81792,81792,0,725654,,,1373,162810,,2.283674414037844,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_017_p2_n2_capls_best.json
case_014,2,2,2,capls,c0,0,0.866,12.833,True,8976065,66345888,2096640,64249248,76278628,,,2,17698626,,1.9717577802745412,"{""block_cap"": 0.35}",False,
case_014,2,2,2,capls,c1,0,0.919,13.7,True,8904271,76033440,7799808,68233632,85966180,,,2,17698626,,1.9876558114639593,"{""block_cap"": 0.15}",True,
case_014,2,2,2,capls,c2,0,1.162,13.106,True,8986480,66393504,2096640,64296864,76326244,,,2,17698626,,1.9694725854839714,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_014,2,2,2,capls,c3,0,0.82,13.137,True,8907775,67258272,2096640,65161632,77191012,,,2,17698626,,1.9868739387782022,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_014,2,2,2,capls,c4,0,0.709,14.658,True,8980081,57659808,2096640,55563168,67592548,,,69,17698626,,1.9708759865306338,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_014,2,2,2,capls,c5,0,1.004,13.364,True,9003865,57645984,2096640,55549344,67578724,,,69,17698626,,1.9656698540015871,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_014,2,2,2,capls,c6,0,0.656,12.833,True,8976065,66345888,2096640,64249248,76278628,,,2,17698626,,1.9717577802745412,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_014,2,2,2,capls,c7,0,0.605,13.7,True,8904271,76033440,7799808,68233632,85966180,,,2,17698626,,1.9876558114639593,"{""block_cap"": 0.08}",False,
case_014,2,2,2,capls,c8,0,0.687,12.765,True,8909136,76223928,9893208,66330720,86156668,,,2,17698626,,1.9865704149089205,"{""block_cap"": 0.005}",False,
case_014,2,2,2,capls,c9,0,0.783,15.359,True,8991793,61484808,2096640,59388168,71417548,,,72,17698626,,1.9683088789966583,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_014,2,2,2,capls,c10,0,0.344,15.392,True,17698626,71010720,0,71010720,80943460,,,1,17698626,,1.0,"{""block_cap"": 0.35, ""cores_used"": 1}",False,
case_014,2,2,2,capls,c11,0,0.76,12.833,True,8976065,66345888,2096640,64249248,76278628,,,2,17698626,,1.9717577802745412,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_014,2,2,2,capls,c12,0,1.066,13.106,True,8986480,66393504,2096640,64296864,76326244,,,2,17698626,,1.9694725854839714,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_014,2,2,2,capls,c13,0,1.116,13.106,True,8986480,66393504,2096640,64296864,76326244,,,2,17698626,,1.9694725854839714,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
