case,num_cores,makespan,official_hit_bytes,official_miss_bytes,hit_rate,hit_input_reuse,hit_spill_reload,hit_cross_core_mid,miss_first_miss,miss_oversize,miss_concurrent_first_read,miss_fifo_evicted
case_022,5,12434,156212,214600,0.421270077559518,156160,0,52,213576,0,1024,0
case_023,5,21898,192132,642770,0.23012521230036578,190080,0,2052,575698,0,67072,0
case_024,5,1577373,1409548,14911314,0.08636480107484519,1409024,0,524,14747456,0,18,163840
case_025,5,975282,0,4233216,0.0,0,0,0,4122624,0,110592,0
case_026,5,38423,386768,757198,0.3380939643311077,362192,0,24576,732622,0,24576,0
case_027,5,487450,3033088,7196672,0.2964964964964965,3033088,0,0,5480448,0,708608,1007616
case_028,5,7991196,6443496,8157336,0.4413101938300502,6443496,0,0,6006912,0,2150424,0
case_029,5,9164,63492,262260,0.19490901053562218,63488,0,4,258164,0,4096,0
case_030,5,560550,8307712,5673984,0.5941848542551633,8307712,0,0,2393088,0,100352,3180544
case_031,5,293738,2248704,4753012,0.32116469733990927,2248704,0,0,2184820,0,202752,2365440
case_032,5,10350,0,279156,0.0,0,0,0,279156,0,0,0
case_033,5,356085,4051584,6949424,0.3682920692358373,4051584,0,0,2889776,0,284160,3775488
case_034,5,164310,2856962,3596854,0.4426779443355683,2856962,0,0,2907702,0,60416,628736
case_035,5,63503,699516,575906,0.5484584710001866,572024,0,127492,528258,0,47648,0
case_036,5,187182,0,3282560,0.0,0,0,0,3277952,0,4608,0
case_037,5,43013,0,1843200,0.0,0,0,0,532480,0,1310720,0
case_038,5,271662,4806144,7397898,0.39381575382975575,4806144,0,0,2794506,0,125952,4477440
case_039,5,302347,3518464,11833344,0.2291889007470651,3518464,0,0,4542464,0,495616,6795264
case_040,5,101948,419688,1604896,0.20729591856895047,287442,0,132246,1578096,0,26800,0
case_041,5,1191841,14813184,30587904,0.3262737668313147,14813184,0,0,4948992,0,239616,25399296
case_042,5,342039,4386816,7002912,0.38515546639919757,4386816,0,0,3027744,0,119808,3855360
case_043,5,171690,2875166,2454446,0.5394700402205639,2191726,0,683440,1916588,0,509696,28162
case_044,5,40054,3215936,1174208,0.7325354248061111,3204416,3840,7680,1023584,0,150624,0
case_045,5,26088,0,278528,0.0,0,0,0,278528,0,0,0
case_046,5,76653,1899200,1160640,0.6206860489437356,1894080,0,5120,1145952,0,14688,0
case_047,5,99665,871832,1203782,0.4200357099152347,287448,0,584384,769734,0,434048,0
case_048,5,142969,334450,1018790,0.2471475865330614,125586,0,208864,970342,0,48448,0
case_049,5,58817,282134,358272,0.44055489798658976,83542,0,198592,291646,0,66626,0
case_050,5,43605,246134,452628,0.352242966847081,163506,0,82628,406740,0,45888,0
case_051,5,344572,393262,1310864,0.23077049466999505,393216,0,46,1310864,0,0,0
case_052,5,30397,179712,925244,0.1626417703510366,179712,0,0,810044,0,115200,0
case_053,5,365951,3904088,9312774,0.29538690802703393,2481752,0,1422336,5886342,0,3397632,28800
case_054,5,243498,872462,2258634,0.278644283024219,356494,0,515968,2026374,0,219460,12800
case_055,5,24606,345114,678458,0.337166315608477,345090,0,24,654906,0,23552,0
case_056,5,75480,544558,530496,0.5065401365884876,209974,0,334584,440286,0,90210,0
case_057,5,15428,659436,374004,0.6380980027868091,659316,0,120,348916,0,25088,0
case_058,5,947187,901120,37441536,0.023501762632197415,901120,0,0,6623232,0,0,30818304
case_059,5,150665,4298752,1107968,0.7950757575757575,4298752,0,0,1081344,0,26624,0
case_060,5,179018,2886016,3251880,0.47019630179462146,2886016,0,0,2098728,0,18432,1134720
case_061,5,18802,171544,624072,0.2156115513011302,171520,0,24,620872,0,3200,0
case_062,5,574337,9216,13438464,0.0006853226727584238,9216,0,0,13438464,0,0,0
case_063,5,213041,4608,5274624,0.0008728542333430317,4608,0,0,5127168,0,0,147456
case_064,5,11227,32466,77446,0.29538175995341726,13106,0,19360,60486,0,16960,0
case_065,5,10499,41472,313544,0.11681727020753994,41472,0,0,299720,0,13824,0
case_066,5,107074,984012,1686448,0.3684803367210144,541292,0,442720,1333260,0,353188,0
case_067,5,12497325,3719296,17272576,0.17717790962140012,3719296,0,0,6105472,0,11167104,0
case_068,5,113021,1295778,4199352,0.23580479442706542,846384,0,449394,3035822,0,1163528,2
case_069,5,9903,167156,177030,0.4856560115751367,109364,0,57792,156294,0,20736,0
case_070,5,26399,266530,759846,0.259680662837011,266500,0,30,503328,0,256518,0
case_071,5,8425,47920,223878,0.17630740476383197,19408,0,28512,139398,0,84480,0
case_072,5,4776264,45891584,95212606,0.32523190133475127,45891584,0,0,11093006,0,24576,84095024
case_073,5,1705058,14814976,3952768,0.7893850214495679,14814976,0,0,3881344,0,71424,0
case_074,5,332111,5431296,6135832,0.4695457679728278,5431296,0,0,4288536,0,36864,1810432
case_075,5,362317,2669592,3440390,0.43692305476513676,1352984,0,1316608,2654086,0,786304,0
case_076,5,1230166,14898176,23549952,0.38748768210509493,14898176,0,0,4269056,0,155648,19125248
case_077,5,114398,707918,2636110,0.21169619393139052,493502,0,214416,2298652,0,329584,7874
case_078,5,457569,4455408,8022672,0.35705877827358057,4387824,0,67584,3312768,0,4703760,6144
case_079,5,6075472,13060096,40429568,0.2441611149398882,13060096,0,0,5812224,0,2439168,32178176
case_080,5,70042,2269184,3006464,0.4301242236024845,2269184,0,0,2072576,0,114688,819200
case_081,5,30943,0,1044820,0.0,0,0,0,1044820,0,0,0
case_082,5,197346,1252760,1161478,0.5189049298370749,550296,0,702464,909062,0,252416,0
case_083,5,184990,930112,3975840,0.18958848353999386,930112,0,0,1184352,0,2791488,0
case_084,5,503472,0,9927786,0.0,0,0,0,9927786,0,0,0
case_085,5,816273,3351568,3350152,0.5001056445211081,1709328,0,1642240,3127814,0,222338,0
case_086,5,38643,450160,727304,0.3823131747552367,238192,0,211968,535110,0,192194,0
case_087,5,894365,3124224,9775580,0.24219158678690003,3124224,0,0,5918684,0,0,3856896
case_088,5,77530,758864,3002666,0.20174343950466964,477712,0,281152,2024034,0,978632,0
case_089,5,119458,0,1357440,0.0,0,0,0,402560,0,954880,0
case_090,5,259720,1819944,6813912,0.21079156288916562,1819944,0,0,2188416,0,4625496,0
case_091,5,1884651,24933888,54768640,0.31283685255253135,24933888,0,0,6535680,0,3908608,44324352
case_092,5,771848,2688256,3241696,0.45333520406236005,2688256,0,0,2208352,0,1033344,0
case_093,5,15876,0,606208,0.0,0,0,0,573440,0,32768,0
case_094,5,18350,360576,535840,0.4022418162995752,360576,0,0,471328,0,64512,0
case_095,5,420852,0,8516508,0.0,0,0,0,8516508,0,0,0
case_096,5,24477,487044,465274,0.5114300055233651,437888,0,49156,382584,0,82690,0
case_097,5,2102250,6270976,19300352,0.24523466282236103,6270976,0,0,4259840,0,1222656,13817856
case_098,5,56819,725070,1350316,0.3493663347444764,638986,0,86084,1227430,0,24582,98304
case_099,5,327016,7315456,5994752,0.5496124478295155,7315456,0,0,2533632,0,237568,3223552
case_100,5,46608,1387876,746882,0.6501327082507713,1305872,0,82004,692096,0,54786,0
