case,num_cores,makespan,official_hit_bytes,official_miss_bytes,hit_rate,hit_input_reuse,hit_spill_reload,hit_cross_core_mid,miss_first_miss,miss_oversize,miss_concurrent_first_read,miss_fifo_evicted
case_073,3,2796345,4782080,6542464,0.42227572253681916,4782080,0,0,3881344,0,2661120,0
case_074,3,544114,3485696,7876632,0.30677656902705147,3485696,0,0,3776536,0,0,4100096
case_075,3,572669,1202956,2752646,0.30411451910480375,849036,0,353920,2579334,0,173312,0
case_076,3,2049651,13817856,24922112,0.35668217382110384,13817856,0,0,4269056,0,2048,20651008
case_077,3,175206,502616,2314140,0.17843789096393156,404120,0,98496,2298652,0,13568,1920
case_078,3,900985,3995376,3721872,0.51772030651341,3970800,0,24576,3222912,0,1296,497664
case_079,3,10072944,0,38535168,0.0,0,0,0,5812224,0,4325376,28397568
case_080,3,99832,2990080,2404352,0.554290053151101,2990080,0,0,2347008,0,57344,0
case_081,3,51943,0,1044820,0.0,0,0,0,1044820,0,0,0
case_082,3,227521,398218,1005320,0.2837244164390277,180490,0,217728,899334,0,105986,0
case_083,3,288815,930112,2115040,0.3054402538855203,930112,0,0,1184352,0,930688,0
case_084,3,836220,0,9927786,0.0,0,0,0,9927786,0,0,0
case_085,3,1272443,1451276,3350022,0.3022674285162054,659596,0,791680,3043718,0,306304,0
case_086,3,47288,186060,663846,0.2189183274385638,64620,0,121440,538566,0,125280,0
case_087,3,1456602,2949120,9697244,0.23319904440517447,2949120,0,0,5918684,0,0,3778560
case_088,3,98649,432908,2521378,0.1465355757702538,313548,0,119360,2024034,0,497344,0
case_089,3,206778,238648,641352,0.2711909090909091,238648,0,0,402560,0,238792,0
case_090,3,324313,1944360,4541016,0.2998068269287702,1944360,0,0,2188416,0,2352600,0
case_091,3,3069257,29355168,38077920,0.43532290854009237,29355168,0,0,6535680,0,0,31542240
case_092,3,1274060,708928,4244960,0.1431053750104968,708928,0,0,3093088,0,1151872,0
case_093,3,25103,0,589824,0.0,0,0,0,573440,0,16384,0
case_094,3,26386,175680,508192,0.2568901782789762,175680,0,0,471328,0,36864,0
case_095,3,673706,0,16681884,0.0,0,0,0,16681884,0,0,0
case_096,3,33260,104192,221016,0.3203857223684534,104192,0,0,221016,0,0,0
case_097,3,3563647,5978112,13934592,0.3002159827213823,5978112,0,0,7061504,0,98304,6774784
case_098,3,64155,454704,1108620,0.2908571735609509,389134,0,65570,1108620,0,0,0
case_099,3,540032,3284992,5757184,0.36329662240593413,3284992,0,0,2615552,0,16384,3125248
case_100,3,57948,0,436006,0.0,0,0,0,436006,0,0,0
case_001,4,58984,0,823808,0.0,0,0,0,820352,0,3456,0
case_002,4,65392,36864,1294848,0.02768166089965398,36864,0,0,1294848,0,0,0
