case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_012,1,1,3,ablation2,lvl_compress,0.1,0.358,True,26380,634338,,59088,9,,2.2398786959818042
case_009,1,1,2,ablation2,full_c2,0.222,1.071,True,144178,482334,,153261,27,,1.0629985157236195
case_009,1,1,2,ablation2,no_comm,0.107,3.321,True,131904,192646,,153261,6,,1.1619132096069869
case_009,1,1,2,ablation2,no_sync,0.216,1.071,True,144178,482334,,153261,27,,1.0629985157236195
case_009,1,1,2,ablation2,no_localsearch,0.102,1.589,True,140430,471522,,153261,25,,1.091369365520188
case_009,1,1,2,ablation2,no_level,0.314,1.848,True,154176,982558,,153261,300,,0.9940652241594022
case_009,1,1,2,ablation2,no_level_no_comm,0.112,1.848,True,159314,188542,,153261,6,,0.9620058500822275
case_009,1,1,2,ablation2,max_ops500,0.261,1.3,True,143396,483906,,153261,28,,1.068795503361321
case_009,1,1,2,ablation2,lvl_alap,0.272,1.434,True,112543,1832738,,153261,38,,1.3617994899727215
case_009,1,1,2,ablation2,lvl_compress,0.28,1.434,True,112543,1832738,,153261,38,,1.3617994899727215
case_012,1,1,4,ablation2,full_c2,0.132,0.301,True,23000,120580,,59088,6,,2.5690434782608698
case_012,1,1,4,ablation2,no_comm,0.059,0.319,True,21709,164670,,59088,7,,2.721820443134184
case_012,1,1,4,ablation2,no_sync,0.107,0.301,True,23000,120580,,59088,6,,2.5690434782608698
case_012,1,1,4,ablation2,no_localsearch,0.02,0.326,True,23076,506032,,59088,12,,2.560582423296932
case_012,1,1,4,ablation2,no_level,0.141,0.321,True,33985,452352,,59088,126,,1.7386494041488891
case_012,1,1,4,ablation2,no_level_no_comm,0.062,0.203,True,68224,251306,,59088,12,,0.8660881801125704
case_012,1,1,4,ablation2,max_ops500,0.129,0.301,True,23000,120580,,59088,6,,2.5690434782608698
case_012,1,1,4,ablation2,lvl_alap,0.135,0.295,True,20447,428742,,59088,8,,2.889812686457671
case_012,1,1,4,ablation2,lvl_compress,0.137,0.295,True,20447,428742,,59088,8,,2.889812686457671
case_012,1,1,5,ablation2,full_c2,0.136,0.263,True,22555,230682,,59088,14,,2.619729549988916
case_012,1,1,5,ablation2,no_comm,0.103,0.328,True,24171,124722,,59088,9,,2.4445823507509
case_012,1,1,5,ablation2,no_sync,0.106,0.263,True,22555,230682,,59088,14,,2.619729549988916
case_012,1,1,5,ablation2,no_localsearch,0.02,0.333,True,22222,544500,,59088,15,,2.658986589865899
case_012,1,1,5,ablation2,no_level,0.135,0.333,True,37134,464640,,59088,127,,1.5912102116658589
case_012,1,1,5,ablation2,no_level_no_comm,0.1,0.203,True,66646,274268,,59088,15,,0.8865948444017645
case_012,1,1,5,ablation2,max_ops500,0.142,0.263,True,22555,230682,,59088,14,,2.619729549988916
case_012,1,1,5,ablation2,lvl_alap,0.143,0.358,True,25419,725544,,59088,15,,2.3245603682284903
case_012,1,1,5,ablation2,lvl_compress,0.152,0.358,True,25419,725544,,59088,15,,2.3245603682284903
case_015,1,1,3,ablation2,full_c2,0.076,0.317,True,76304,965272,,177362,7,,2.3244128748165234
case_015,1,1,3,ablation2,no_comm,0.031,0.305,True,73207,1105040,,177362,8,,2.422746458671985
case_015,1,1,3,ablation2,no_sync,0.057,0.317,True,76304,965272,,177362,7,,2.3244128748165234
case_015,1,1,3,ablation2,no_localsearch,0.018,0.306,True,76751,973464,,177362,7,,2.310875428333181
case_015,1,1,3,ablation2,no_level,0.063,0.25,True,95600,1835688,,177362,78,,1.8552510460251046
case_015,1,1,3,ablation2,no_level_no_comm,0.029,0.219,True,191467,1222520,,177362,9,,0.9263319527647061
case_015,1,1,3,ablation2,max_ops500,0.087,0.317,True,76304,965272,,177362,7,,2.3244128748165234
case_015,1,1,3,ablation2,lvl_alap,0.067,0.297,True,72559,2167712,,177362,9,,2.4443831916095866
