case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_002,1,1,5,ablation2,no_level,0.099,0.245,True,278363,210432,,261945,15,,0.941019460201248
case_002,1,1,5,ablation2,no_level_no_comm,0.071,0.245,True,278363,210432,,261945,15,,0.941019460201248
case_002,1,1,5,ablation2,max_ops500,0.102,0.308,True,60106,317952,,261945,16,,4.358050776960702
case_002,1,1,5,ablation2,lvl_alap,0.114,0.375,True,86675,1064448,,261945,16,,3.0221517161811366
case_002,1,1,5,ablation2,lvl_compress,0.095,0.375,True,86675,1064448,,261945,16,,3.0221517161811366
case_002,1,1,2,ablation2,full_c2,0.059,0.513,True,137773,133632,,261945,6,,1.9012796411488464
case_002,1,1,2,ablation2,no_comm,0.034,0.513,True,137773,133632,,261945,6,,1.9012796411488464
case_002,1,1,2,ablation2,no_sync,0.048,0.513,True,137773,133632,,261945,6,,1.9012796411488464
case_002,1,1,2,ablation2,no_localsearch,0.036,0.513,True,137773,133632,,261945,6,,1.9012796411488464
case_002,1,1,2,ablation2,no_level,0.048,0.336,True,267974,93696,,261945,6,,0.9775015486577056
case_002,1,1,2,ablation2,no_level_no_comm,0.032,0.336,True,267974,93696,,261945,6,,0.9775015486577056
case_002,1,1,2,ablation2,max_ops500,0.055,0.425,True,138110,156672,,261945,8,,1.8966403591340235
case_002,1,1,2,ablation2,lvl_alap,0.047,0.382,True,168599,700416,,261945,7,,1.5536569018796078
case_002,1,1,2,ablation2,lvl_compress,0.033,0.382,True,168599,700416,,261945,7,,1.5536569018796078
case_002,1,1,3,ablation2,full_c2,0.056,0.458,True,94832,199680,,261945,9,,2.762200523030201
case_002,1,1,3,ablation2,no_comm,0.037,0.458,True,94832,199680,,261945,9,,2.762200523030201
case_002,1,1,3,ablation2,no_sync,0.062,0.458,True,94832,199680,,261945,9,,2.762200523030201
case_002,1,1,3,ablation2,no_localsearch,0.036,0.458,True,94832,199680,,261945,9,,2.762200523030201
case_002,1,1,3,ablation2,no_level,0.055,0.244,True,271721,141312,,261945,9,,0.9640219195424719
case_002,1,1,3,ablation2,no_level_no_comm,0.032,0.244,True,271721,141312,,261945,9,,0.9640219195424719
case_002,1,1,3,ablation2,max_ops500,0.051,0.407,True,95107,239616,,261945,12,,2.754213675123808
case_002,1,1,3,ablation2,lvl_alap,0.054,0.356,True,147337,818688,,261945,9,,1.777862994359869
case_002,1,1,3,ablation2,lvl_compress,0.061,0.356,True,147337,818688,,261945,9,,1.777862994359869
case_006,1,1,2,ablation2,full_c2,0.02,0.169,True,53205,554718,,82837,6,,1.55694013720515
case_006,1,1,2,ablation2,no_comm,0.024,0.136,True,66252,413358,,82837,5,,1.2503320654470809
case_006,1,1,2,ablation2,no_sync,0.033,0.169,True,53205,554718,,82837,6,,1.55694013720515
case_006,1,1,2,ablation2,no_localsearch,0.014,0.107,True,44485,686320,,82837,6,,1.8621333033606833
case_006,1,1,2,ablation2,no_level,0.028,0.18,True,73329,790932,,82837,69,,1.1296622073122502
case_006,1,1,2,ablation2,no_level_no_comm,0.018,0.089,True,88657,457398,,82837,6,,0.9343537453331379
case_006,1,1,2,ablation2,max_ops500,0.029,0.169,True,53205,554718,,82837,6,,1.55694013720515
case_006,1,1,2,ablation2,lvl_alap,0.027,0.169,True,45035,1154138,,82837,6,,1.8393915843233042
case_006,1,1,2,ablation2,lvl_compress,0.031,0.169,True,45035,1154138,,82837,6,,1.8393915843233042
case_006,1,1,3,ablation2,full_c2,0.03,0.191,True,38178,795788,,82837,9,,2.16975745193567
case_006,1,1,3,ablation2,no_comm,0.04,0.139,True,48941,521696,,82837,9,,1.6925890357777733
case_006,1,1,3,ablation2,no_sync,0.038,0.155,True,45476,811416,,82837,10,,1.8215542264051368
case_006,1,1,3,ablation2,no_localsearch,0.009,0.158,True,47076,918170,,82837,10,,1.7596439799473191
case_006,1,1,3,ablation2,no_level,0.042,0.185,True,79426,823710,,82837,70,,1.0429456349306272
case_006,1,1,3,ablation2,no_level_no_comm,0.04,0.115,True,91726,536412,,82837,9,,0.9030918169330397
case_006,1,1,3,ablation2,max_ops500,0.038,0.191,True,38178,795788,,82837,9,,2.16975745193567
case_006,1,1,3,ablation2,lvl_alap,0.047,0.166,True,40793,1309262,,82837,9,,2.0306670262054762
case_006,1,1,3,ablation2,lvl_compress,0.048,0.166,True,40793,1309262,,82837,9,,2.0306670262054762
case_006,1,1,4,ablation2,full_c2,0.084,0.19,True,39535,627592,,82837,13,,2.0952826609333504
case_006,1,1,4,ablation2,no_comm,0.043,0.172,True,42312,551682,,82837,12,,1.957766118358858
case_006,1,1,4,ablation2,no_sync,0.066,0.19,True,39535,627592,,82837,13,,2.0952826609333504
case_006,1,1,4,ablation2,no_localsearch,0.012,0.183,True,38195,995902,,82837,15,,2.168791726665794
case_006,1,1,4,ablation2,no_level,0.076,0.155,True,68203,856478,,82837,71,,1.2145653417005118
case_006,1,1,4,ablation2,no_level_no_comm,0.035,0.127,True,94909,647034,,82837,12,,0.8728044758663562
case_006,1,1,4,ablation2,max_ops500,0.077,0.19,True,39535,627592,,82837,13,,2.0952826609333504
case_006,1,1,4,ablation2,lvl_alap,0.076,0.175,True,44106,1628018,,82837,16,,1.8781344941731284
case_006,1,1,4,ablation2,lvl_compress,0.07,0.175,True,44106,1628018,,82837,16,,1.8781344941731284
case_008,1,1,2,ablation2,full_c2,0.019,0.282,True,244266,0,,487605,2,,1.9962049568912579
case_008,1,1,2,ablation2,no_comm,0.017,0.268,True,244266,0,,487605,2,,1.9962049568912579
case_008,1,1,2,ablation2,no_sync,0.021,0.282,True,244266,0,,487605,2,,1.9962049568912579
case_008,1,1,2,ablation2,no_localsearch,0.007,0.282,True,244266,0,,487605,2,,1.9962049568912579
case_008,1,1,2,ablation2,no_level,0.018,0.255,True,282320,0,,487605,108,,1.7271358741853216
case_008,1,1,2,ablation2,no_level_no_comm,0.012,0.196,True,245702,0,,487605,6,,1.984538180397392
case_008,1,1,2,ablation2,max_ops500,0.023,0.282,True,244266,0,,487605,2,,1.9962049568912579
case_008,1,1,2,ablation2,lvl_alap,0.039,0.282,True,244266,0,,487605,2,,1.9962049568912579
case_008,1,1,2,ablation2,lvl_compress,0.026,0.282,True,244266,0,,487605,2,,1.9962049568912579
case_006,1,1,5,ablation2,full_c2,0.073,0.159,True,34136,433102,,82837,11,,2.426675650339817
case_006,1,1,5,ablation2,no_comm,0.083,0.133,True,31016,420554,,82837,11,,2.6707828217694094
case_006,1,1,5,ablation2,no_sync,0.078,0.154,True,44655,610822,,82837,16,,1.8550442279699921
case_006,1,1,5,ablation2,no_localsearch,0.009,0.183,True,35474,1147374,,82837,21,,2.33514686812877
case_006,1,1,5,ablation2,no_level,0.089,0.24,True,40386,938408,,82837,73,,2.051131580250582
case_006,1,1,5,ablation2,no_level_no_comm,0.113,0.14,True,93079,609404,,82837,15,,0.8899644388100431
case_006,1,1,5,ablation2,max_ops500,0.102,0.159,True,34136,433102,,82837,11,,2.426675650339817
case_006,1,1,5,ablation2,lvl_alap,0.097,0.163,True,39372,1181744,,82837,15,,2.1039571268922077
case_006,1,1,5,ablation2,lvl_compress,0.084,0.163,True,39372,1181744,,82837,15,,2.1039571268922077
case_008,1,1,3,ablation2,full_c2,0.032,0.287,True,163359,0,,487605,3,,2.984867684057811
case_008,1,1,3,ablation2,no_comm,0.025,0.234,True,163359,0,,487605,3,,2.984867684057811
case_008,1,1,3,ablation2,no_sync,0.029,0.287,True,163359,0,,487605,3,,2.984867684057811
case_008,1,1,3,ablation2,no_localsearch,0.011,0.287,True,163359,0,,487605,3,,2.984867684057811
case_008,1,1,3,ablation2,no_level,0.031,0.288,True,199304,0,,487605,108,,2.4465389555653676
case_008,1,1,3,ablation2,no_level_no_comm,0.029,0.212,True,165413,0,,487605,9,,2.9478033770018075
case_008,1,1,3,ablation2,max_ops500,0.025,0.287,True,163359,0,,487605,3,,2.984867684057811
case_008,1,1,3,ablation2,lvl_alap,0.023,0.287,True,163359,0,,487605,3,,2.984867684057811
case_008,1,1,3,ablation2,lvl_compress,0.022,0.287,True,163359,0,,487605,3,,2.984867684057811
case_008,1,1,4,ablation2,full_c2,0.045,0.23,True,123060,0,,487605,4,,3.962335446123842
case_008,1,1,4,ablation2,no_comm,0.029,0.224,True,123060,0,,487605,4,,3.962335446123842
case_008,1,1,4,ablation2,no_sync,0.044,0.23,True,123060,0,,487605,4,,3.962335446123842
case_008,1,1,4,ablation2,no_localsearch,0.008,0.23,True,123060,0,,487605,4,,3.962335446123842
case_008,1,1,4,ablation2,no_level,0.043,0.264,True,157796,0,,487605,108,,3.090097340870491
case_008,1,1,4,ablation2,no_level_no_comm,0.025,0.137,True,125732,0,,487605,12,,3.8781296726370376
case_008,1,1,4,ablation2,max_ops500,0.029,0.23,True,123060,0,,487605,4,,3.962335446123842
case_008,1,1,4,ablation2,lvl_alap,0.033,0.23,True,123060,0,,487605,4,,3.962335446123842
case_008,1,1,4,ablation2,lvl_compress,0.028,0.23,True,123060,0,,487605,4,,3.962335446123842
case_008,1,1,5,ablation2,full_c2,0.045,0.234,True,100603,0,,487605,5,,4.846823653370178
case_008,1,1,5,ablation2,no_comm,0.044,0.21,True,103516,368640,,487605,10,,4.710431237683063
case_008,1,1,5,ablation2,no_sync,0.051,0.234,True,100603,0,,487605,5,,4.846823653370178
case_008,1,1,5,ablation2,no_localsearch,0.012,0.234,True,100603,0,,487605,5,,4.846823653370178
case_008,1,1,5,ablation2,no_level,0.054,0.29,True,134736,0,,487605,108,,3.618965977912362
case_008,1,1,5,ablation2,no_level_no_comm,0.044,0.163,True,227623,368640,,487605,15,,2.142160502233957
case_008,1,1,5,ablation2,max_ops500,0.045,0.234,True,100603,0,,487605,5,,4.846823653370178
case_008,1,1,5,ablation2,lvl_alap,0.056,0.234,True,100603,0,,487605,5,,4.846823653370178
case_008,1,1,5,ablation2,lvl_compress,0.054,0.234,True,100603,0,,487605,5,,4.846823653370178
case_005,1,1,2,ablation2,full_c2,0.148,0.974,True,70129,973304,,95618,20,,1.36345876884028
case_005,1,1,2,ablation2,no_comm,0.082,0.897,True,103157,787190,,95618,7,,0.9269172232616303
case_005,1,1,2,ablation2,no_sync,0.161,0.974,True,70129,973304,,95618,20,,1.36345876884028
case_005,1,1,2,ablation2,no_localsearch,0.087,1.479,True,65153,929524,,95618,20,,1.4675916688410358
case_005,1,1,2,ablation2,no_level,0.172,1.03,True,92621,1558026,,95618,153,,1.032357672666026
case_005,1,1,2,ablation2,no_level_no_comm,0.07,0.953,True,103241,611066,,95618,6,,0.926163055375287
case_005,1,1,2,ablation2,max_ops500,0.167,1.107,True,70901,1091584,,95618,22,,1.3486128545436595
case_005,1,1,2,ablation2,lvl_alap,0.212,1.062,True,68915,988758,,95618,20,,1.3874773271421317
case_005,1,1,2,ablation2,lvl_compress,0.208,1.062,True,68915,988758,,95618,20,,1.3874773271421317
case_010,1,1,2,ablation2,full_c2,0.038,0.137,True,52054,717072,,86969,8,,1.6707457640142929
