case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_004,2,2,2,ablation,no_comm,0.01,0.115,True,199678,119808,,392357,3,,1.964948567193181
case_004,2,2,2,ablation,no_balance,0.008,0.114,True,199074,110592,,392357,2,,1.9709103147573264
case_004,2,2,2,ablation,no_sync,0.016,0.09,True,199074,110592,,392357,2,,1.9709103147573264
case_004,2,2,2,ablation,no_localsearch,0.008,0.117,True,199074,110592,,392357,2,,1.9709103147573264
case_004,2,2,2,ablation,no_cache_aware,0.016,0.089,True,199074,110592,,392357,2,,1.9709103147573264
case_004,2,2,2,ablation,no_level,0.014,0.091,True,199074,110592,,392357,111,,1.9709103147573264
case_004,2,2,3,ablation,full,0.025,0.101,True,134043,221184,,392357,3,,2.927098020784375
case_004,2,2,3,ablation,no_comm,0.017,0.088,True,135253,313344,,392357,6,,2.900911624880779
case_004,2,2,3,ablation,no_balance,0.004,0.094,True,134043,221184,,392357,3,,2.927098020784375
case_004,2,2,3,ablation,no_sync,0.017,0.065,True,134043,221184,,392357,3,,2.927098020784375
case_004,2,2,3,ablation,no_localsearch,0.006,0.066,True,134043,221184,,392357,3,,2.927098020784375
case_004,2,2,3,ablation,no_cache_aware,0.022,0.08,True,134043,221184,,392357,3,,2.927098020784375
case_004,2,2,3,ablation,no_level,0.028,0.114,True,134043,221184,,392357,111,,2.927098020784375
case_004,1,1,5,ablation,full,0.047,0.086,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation,no_comm,0.021,0.125,True,91718,783360,,392357,9,,4.2778625787740685
case_004,1,1,5,ablation,no_balance,0.007,0.126,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation,no_sync,0.041,0.131,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation,no_localsearch,0.01,0.078,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation,no_cache_aware,0.044,0.086,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation,no_level,0.032,0.186,True,247003,12165120,,392357,111,,1.5884705853775056
case_004,2,2,4,ablation,full,0.045,0.089,True,104188,331776,,392357,4,,3.765855952700887
case_004,2,2,4,ablation,no_comm,0.023,0.097,True,105684,531456,,392357,8,,3.7125487301767532
case_004,2,2,4,ablation,no_balance,0.004,0.087,True,104188,331776,,392357,4,,3.765855952700887
case_004,2,2,4,ablation,no_sync,0.035,0.099,True,104188,331776,,392357,4,,3.765855952700887
case_004,2,2,4,ablation,no_localsearch,0.009,0.111,True,104188,331776,,392357,4,,3.765855952700887
case_004,2,2,4,ablation,no_cache_aware,0.025,0.074,True,104188,331776,,392357,4,,3.765855952700887
case_004,2,2,4,ablation,no_level,0.038,0.086,True,104188,331776,,392357,111,,3.765855952700887
case_004,2,2,5,ablation,full,0.033,0.098,True,88341,442368,,392357,5,,4.441391879195391
case_004,2,2,5,ablation,no_comm,0.029,0.097,True,87898,635904,,392357,9,,4.463776195135271
case_004,2,2,5,ablation,no_balance,0.007,0.099,True,88341,442368,,392357,5,,4.441391879195391
case_004,2,2,5,ablation,no_sync,0.045,0.103,True,88341,442368,,392357,5,,4.441391879195391
case_004,2,2,5,ablation,no_localsearch,0.009,0.107,True,88341,442368,,392357,5,,4.441391879195391
case_004,2,2,5,ablation,no_cache_aware,0.046,0.067,True,88341,442368,,392357,5,,4.441391879195391
case_004,2,2,5,ablation,no_level,0.043,0.098,True,88341,442368,,392357,111,,4.441391879195391
case_004,3,3,3,ablation,full,0.022,0.085,True,134043,221184,0.0,392357,3,,2.927098020784375
case_004,3,3,3,ablation,no_comm,0.011,0.068,True,135253,313344,0.02531645569620253,392357,6,,2.900911624880779
case_004,3,3,3,ablation,no_balance,0.004,0.069,True,134043,221184,0.0,392357,3,,2.927098020784375
case_004,3,3,3,ablation,no_sync,0.017,0.098,True,134043,221184,0.0,392357,3,,2.927098020784375
case_004,3,3,3,ablation,no_localsearch,0.01,0.11,True,134043,221184,0.0,392357,3,,2.927098020784375
case_004,3,3,3,ablation,no_cache_aware,0.028,0.088,True,134043,221184,0.0,392357,3,,2.927098020784375
case_004,3,3,3,ablation,no_level,0.027,0.11,True,134043,221184,0.0,392357,111,,2.927098020784375
case_004,3,3,2,ablation,full,0.02,0.112,True,199074,110592,0.0,392357,2,,1.9709103147573264
case_004,3,3,2,ablation,no_comm,0.011,0.092,True,199678,119808,0.0,392357,3,,1.964948567193181
case_004,3,3,2,ablation,no_balance,0.008,0.119,True,199074,110592,0.0,392357,2,,1.9709103147573264
case_004,3,3,2,ablation,no_sync,0.014,0.099,True,199074,110592,0.0,392357,2,,1.9709103147573264
case_004,3,3,2,ablation,no_localsearch,0.006,0.092,True,199074,110592,0.0,392357,2,,1.9709103147573264
case_004,3,3,2,ablation,no_cache_aware,0.018,0.12,True,199074,110592,0.0,392357,2,,1.9709103147573264
case_004,3,3,2,ablation,no_level,0.015,0.089,True,199074,110592,0.0,392357,111,,1.9709103147573264
case_004,3,3,4,ablation,full,0.038,0.107,True,104188,331776,0.0,392357,4,,3.765855952700887
case_004,3,3,4,ablation,no_comm,0.026,0.077,True,104436,531456,0.20136518771331058,392357,8,,3.7569133249071203
case_004,3,3,4,ablation,no_balance,0.007,0.099,True,104188,331776,0.0,392357,4,,3.765855952700887
case_004,3,3,4,ablation,no_sync,0.035,0.095,True,104188,331776,0.0,392357,4,,3.765855952700887
case_004,3,3,4,ablation,no_localsearch,0.006,0.088,True,104188,331776,0.0,392357,4,,3.765855952700887
case_004,3,3,4,ablation,no_cache_aware,0.039,0.114,True,104188,331776,0.0,392357,4,,3.765855952700887
case_004,3,3,4,ablation,no_level,0.037,0.083,True,104188,331776,0.0,392357,111,,3.765855952700887
case_004,3,3,5,ablation,full,0.043,0.105,True,88341,442368,0.0,392357,5,,4.441391879195391
case_004,3,3,5,ablation,no_comm,0.024,0.116,True,87898,635904,0.02147239263803681,392357,9,,4.463776195135271
case_004,3,3,5,ablation,no_balance,0.008,0.087,True,88341,442368,0.0,392357,5,,4.441391879195391
case_004,3,3,5,ablation,no_sync,0.03,0.065,True,88341,442368,0.0,392357,5,,4.441391879195391
case_004,3,3,5,ablation,no_localsearch,0.006,0.063,True,88341,442368,0.0,392357,5,,4.441391879195391
case_004,3,3,5,ablation,no_cache_aware,0.032,0.082,True,88341,442368,0.0,392357,5,,4.441391879195391
case_004,3,3,5,ablation,no_level,0.046,0.091,True,88341,442368,0.0,392357,111,,4.441391879195391
case_005,1,1,2,ablation,full,0.082,0.708,True,102335,707496,,95618,11,,0.9343626325304148
case_005,1,1,2,ablation,no_comm,0.063,1.43,True,97733,178950,,95618,3,,0.978359407774242
