case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_004,3,3,2,capls,pool:cross_from_p2,0,0.0,0.146,True,195960,1382400,110592,1271808,2174976,0.16706443914081145,215040,777,392357,,2.0022300469483567,cross_from_p2,True,results\plans_final\case_004_p3_n2.json
case_004,3,3,3,capls,pool:c14,0,0.098,0.131,True,130725,221184,221184,0,1013760,0.0,0,777,392357,,3.001392235609103,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p3_n3.json
case_004,3,3,4,capls,pool:c14,0,0.1,0.134,True,100126,331776,331776,0,1124352,0.1411764705882353,110592,777,392357,,3.9186325230209937,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p3_n4.json
case_004,3,3,5,capls,pool:c14,0,0.107,0.105,True,83319,442368,442368,0,1234944,0.0,0,777,392357,,4.709093964161836,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_004_p3_n5.json
case_005,1,1,2,capls,pool:a_no_balance,0,0.064,1.479,True,65153,929524,929524,0,1262938,,,20,95618,,1.4675916688410358,"{""_rr"": true, ""comm_weight"": 0.0, ""local_search"": false, ""p1_pruned_labels"": 5}",True,results\plans_final\case_005_p1_n2.json
case_005,1,1,3,capls,pool:sa2,0,0.014,0.921,True,55517,1143334,1143334,0,1476748,,,21,95618,,1.7223192895869734,"{""label"": ""sa2"", ""p1_pruned_labels"": 8}",True,results\plans_final\case_005_p1_n3.json
case_005,1,1,4,capls,pool:a_no_balance,0,0.076,1.393,True,51248,1263492,1263492,0,1596906,,,40,95618,,1.865789884483297,"{""_rr"": true, ""comm_weight"": 0.0, ""local_search"": false, ""p1_pruned_labels"": 6}",True,results\plans_final\case_005_p1_n4.json
case_005,1,1,5,capls,pool:embed_n4,0,0.0,1.13,True,51248,1263492,1263492,0,1596906,,,40,95618,,1.865789884483297,"{""label"": ""embed_n4"", ""p1_pruned_labels"": 9}",True,results\plans_final\case_005_p1_n5.json
case_005,2,2,2,capls,pool:c14,0,0.475,0.952,True,52975,477222,477222,0,810636,,,4113,95618,,1.804964605946201,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_005_p2_n2.json
case_005,2,2,3,capls,pool:s15,0,0.696,0.911,True,38285,801420,801420,0,1134834,,,4113,95618,,2.4975316703669845,s15,True,results\plans_final\case_005_p2_n3.json
case_005,2,2,4,capls,pool:embed_n3,0,0.0,1.182,True,38285,801420,801420,0,1134834,,,4113,95618,,2.4975316703669845,embed_n3,True,results\plans_final\case_005_p2_n4.json
case_005,2,2,5,capls,pool:cross_from_p3,0,0.0,1.101,True,36630,837720,837720,0,1171134,,,4113,95618,,2.6103740103740103,cross_from_p3,True,results\plans_final\case_005_p2_n5.json
case_005,3,3,2,capls,pool:c14,0,0.491,0.954,True,52945,477222,477222,0,810636,0.1775340378567382,109062,4113,95618,,1.8059873453583908,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_005_p3_n2.json
case_005,3,3,3,capls,pool:s2,0,0.635,0.859,True,38024,804684,804684,0,1138098,0.27705777490278083,221004,4113,95618,,2.5146749421418053,s2,True,results\plans_final\case_005_p3_n3.json
case_005,3,3,4,capls,pool:c14,0,0.832,0.732,True,36155,1236978,1236978,0,1570392,0.3776310920528504,416370,4113,95618,,2.644668787166367,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_005_p3_n4.json
case_005,3,3,5,capls,pool:s9,0,0.753,0.7,True,35497,837720,837720,0,1171134,0.3481019880164779,298966,4113,95618,,2.6936924247119474,s9,True,results\plans_final\case_005_p3_n5.json
case_006,1,1,2,capls,pool:a_no_balance,0,0.01,0.107,True,44485,686320,686320,0,1229668,,,6,82837,,1.8621333033606833,"{""_rr"": true, ""comm_weight"": 0.0, ""local_search"": false, ""p1_pruned_labels"": 10}",True,results\plans_final\case_006_p1_n2.json
case_006,1,1,3,capls,pool:c3,0,0.076,0.197,True,36031,363168,363168,0,906516,,,6,82837,,2.2990480419638644,"{""block_cap"": 0.35, ""init"": ""contig"", ""p1_pruned_labels"": 10}",True,results\plans_final\case_006_p1_n3.json
case_006,1,1,4,capls,pool:sa1,0,0.01,0.165,True,33209,1036744,1036744,0,1580092,,,24,82837,,2.494414164834834,"{""label"": ""sa1"", ""p1_pruned_labels"": 12}",True,results\plans_final\case_006_p1_n4.json
case_006,1,1,5,capls,pool:sa1,0,0.011,0.118,True,28796,377182,377182,0,920530,,,13,82837,,2.8766842617030144,"{""label"": ""sa1"", ""p1_pruned_labels"": 13}",True,results\plans_final\case_006_p1_n5.json
case_006,2,2,2,capls,pool:cross_from_p3,0,0.0,0.112,True,40056,501324,501324,0,1044672,,,6,82837,,2.0680297583383265,cross_from_p3,True,results\plans_final\case_006_p2_n2.json
case_006,2,2,3,capls,pool:cross_from_p3,0,0.0,0.145,True,27488,618368,618368,0,1161716,,,678,82837,,3.0135695576251456,cross_from_p3,True,results\plans_final\case_006_p2_n3.json
case_006,2,2,4,capls,pool:s16,0,0.114,0.121,True,25390,493156,493156,0,1036504,,,678,82837,,3.262583694367861,s16,True,results\plans_final\case_006_p2_n4.json
case_006,2,2,5,capls,pool:s14,0,0.103,0.148,True,22940,336400,336400,0,879748,,,678,82837,,3.61102877070619,s14,True,results\plans_final\case_006_p2_n5.json
case_006,3,3,2,capls,pool:cross_from_p2,0,0.0,0.133,True,39976,501324,501324,0,1044672,0.35050985215534075,337412,6,82837,,2.0721683009805885,cross_from_p2,True,results\plans_final\case_006_p3_n2.json
case_006,3,3,3,capls,pool:s5,0,0.087,0.129,True,26930,618368,618368,0,1161716,0.43427222717128766,472866,678,82837,,3.076011882658745,s5,True,results\plans_final\case_006_p3_n3.json
case_006,3,3,4,capls,pool:cross_from_p2,0,0.0,0.125,True,24877,493156,493156,0,1036504,0.3416916965005577,327178,678,82837,,3.3298629255939223,cross_from_p2,True,results\plans_final\case_006_p3_n4.json
case_006,3,3,5,capls,pool:s1,0,0.11,0.171,True,22533,916100,916100,0,1459448,0.4157456472369417,549200,678,82837,,3.6762526072870902,s1,True,results\plans_final\case_006_p3_n5.json
case_007,1,1,2,capls,pool:a_full,0,0.088,2.754,True,507494,27648,27648,0,1760256,,,2,1012562,,1.9952196479170197,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_007_p1_n2.json
case_007,1,1,3,capls,pool:a_full,0,0.117,1.761,True,338094,55296,55296,0,1787904,,,3,1012562,,2.994912657426633,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_007_p1_n3.json
case_007,1,1,4,capls,pool:a_full,0,0.149,1.49,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811,"{""p1_pruned_labels"": 4}",True,results\plans_final\case_007_p1_n4.json
case_007,1,1,5,capls,pool:a_full,0,0.316,1.203,True,203834,110592,110592,0,1843200,,,5,1012562,,4.967581463347626,"{""p1_pruned_labels"": 3}",True,results\plans_final\case_007_p1_n5.json
case_007,2,2,2,capls,pool:a_full,0,0.096,1.018,True,507494,27648,27648,0,1760256,,,2,1012562,,1.9952196479170197,{},True,results\plans_final\case_007_p2_n2.json
case_007,2,2,3,capls,pool:a_full,0,0.119,0.624,True,338094,55296,55296,0,1787904,,,3,1012562,,2.994912657426633,{},True,results\plans_final\case_007_p2_n3.json
case_007,2,2,4,capls,pool:a_full,0,0.161,0.758,True,254398,82944,82944,0,1815552,,,4,1012562,,3.980227831979811,{},True,results\plans_final\case_007_p2_n4.json
case_007,2,2,5,capls,pool:a_full,0,0.19,0.605,True,203834,110592,110592,0,1843200,,,5,1012562,,4.967581463347626,{},True,results\plans_final\case_007_p2_n5.json
case_007,3,3,2,capls,pool:a_full,0,0.09,0.908,True,507494,27648,27648,0,1760256,0.0,0,2,1012562,,1.9952196479170197,{},True,results\plans_final\case_007_p3_n2.json
case_007,3,3,3,capls,pool:a_full,0,0.142,0.768,True,338094,55296,55296,0,1787904,0.0,0,3,1012562,,2.994912657426633,{},True,results\plans_final\case_007_p3_n3.json
case_007,3,3,4,capls,pool:a_full,0,0.161,0.651,True,254398,82944,82944,0,1815552,0.0,0,4,1012562,,3.980227831979811,{},True,results\plans_final\case_007_p3_n4.json
case_007,3,3,5,capls,pool:a_full,0,0.188,0.773,True,203834,110592,110592,0,1843200,0.0,0,5,1012562,,4.967581463347626,{},True,results\plans_final\case_007_p3_n5.json
case_008,1,1,2,capls,pool:sa1,0,0.011,0.345,True,244163,1990656,1990656,0,4645080,,,3,487605,,1.997047054631537,"{""label"": ""sa1"", ""p1_pruned_labels"": 3}",True,results\plans_final\case_008_p1_n2.json
case_008,1,1,3,capls,pool:sa1,0,0.01,0.284,True,163256,1327104,1327104,0,3981528,,,4,487605,,2.9867508697995784,"{""label"": ""sa1"", ""p1_pruned_labels"": 3}",True,results\plans_final\case_008_p1_n3.json
case_008,1,1,4,capls,pool:sa1,0,0.013,0.279,True,122957,995328,995328,0,3649752,,,5,487605,,3.9656546597591027,"{""label"": ""sa1"", ""p1_pruned_labels"": 4}",True,results\plans_final\case_008_p1_n4.json
case_008,1,1,5,capls,pool:sa3,0,0.011,0.251,True,100500,811008,811008,0,3465432,,,6,487605,,4.851791044776119,"{""label"": ""sa3"", ""p1_pruned_labels"": 5}",True,results\plans_final\case_008_p1_n5.json
case_008,2,2,2,capls,pool:c14,0,0.086,0.145,True,155082,0,0,0,2654424,,,864,487605,,3.144175339497814,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p2_n2.json
case_008,2,2,3,capls,pool:c14,0,0.072,0.188,True,110895,0,0,0,2654424,,,864,487605,,4.3969971594751796,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p2_n3.json
case_008,2,2,4,capls,pool:c14,0,0.09,0.167,True,88500,0,0,0,2654424,,,864,487605,,5.509661016949153,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p2_n4.json
case_008,2,2,5,capls,pool:c14,0,0.082,0.149,True,71833,0,0,0,2654424,,,864,487605,,6.788036139378837,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p2_n5.json
case_008,3,3,2,capls,pool:c14,0,0.074,0.158,True,155082,0,0,0,2654424,0.0,0,864,487605,,3.144175339497814,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p3_n2.json
case_008,3,3,3,capls,pool:c14,0,0.078,0.147,True,110895,0,0,0,2654424,0.0,0,864,487605,,4.3969971594751796,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p3_n3.json
case_008,3,3,4,capls,pool:c14,0,0.081,0.18,True,88500,0,0,0,2654424,0.0,0,864,487605,,5.509661016949153,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p3_n4.json
case_008,3,3,5,capls,pool:c14,0,0.08,0.116,True,71833,0,0,0,2654424,0.0,0,864,487605,,6.788036139378837,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_008_p3_n5.json
case_009,1,1,2,capls,pool:sa3,0,0.019,1.19,True,111035,2289206,2289206,0,2784538,,,133,153261,,1.3802945017336876,"{""label"": ""sa3"", ""p1_pruned_labels"": 8}",True,results\plans_final\case_009_p1_n2.json
case_009,1,1,3,capls,pool:sa1,0,0.019,1.206,True,88247,699372,699372,0,1194704,,,61,153261,,1.7367275941391775,"{""label"": ""sa1"", ""p1_pruned_labels"": 11}",True,results\plans_final\case_009_p1_n3.json
case_009,1,1,4,capls,pool:embed_n3,0,0.0,1.814,True,88247,699372,699372,0,1194704,,,61,153261,,1.7367275941391775,"{""label"": ""embed_n3"", ""p1_pruned_labels"": 7}",True,results\plans_final\case_009_p1_n4.json
case_009,1,1,5,capls,pool:sa1,0,0.018,1.454,True,68190,825050,825050,0,1320382,,,125,153261,,2.2475582930048392,"{""label"": ""sa1"", ""p1_pruned_labels"": 8}",True,results\plans_final\case_009_p1_n5.json
case_009,2,2,2,capls,pool:c14,0,1.014,1.193,True,91267,299150,299150,0,794482,,,5671,153261,,1.6792597543471353,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_009_p2_n2.json
case_009,2,2,3,capls,pool:c14,0,0.963,1.044,True,66004,574108,574108,0,1069440,,,5671,153261,,2.321995636628083,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_009_p2_n3.json
case_009,2,2,4,capls,pool:c12,0,0.619,1.464,True,63921,747930,747930,0,1243262,,,100,153261,,2.3976627399446193,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",True,results\plans_final\case_009_p2_n4.json
case_009,2,2,5,capls,pool:c14,0,1.248,1.067,True,49750,929592,929592,0,1424924,,,5671,153261,,3.0806231155778896,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_009_p2_n5.json
case_009,3,3,2,capls,pool:c14,0,1.027,0.979,True,91263,299150,299150,0,794482,0.2235859712923933,162310,5671,153261,,1.6793333552480194,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_009_p3_n2.json
case_009,3,3,3,capls,pool:c14,0,1.018,1.134,True,65976,574108,574108,0,1069440,0.2948260919868933,270112,5671,153261,,2.3229810840305567,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_009_p3_n3.json
case_009,3,3,4,capls,pool:c12,0,0.61,1.501,True,63026,747930,747930,0,1243262,0.4230412300265803,443090,100,153261,,2.431710722558944,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",True,results\plans_final\case_009_p3_n4.json
case_009,3,3,5,capls,pool:c14,0,1.176,1.12,True,48320,929592,929592,0,1424924,0.3755509110303619,433044,5671,153261,,3.1717922185430463,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans_final\case_009_p3_n5.json
case_010,1,1,2,capls,pool:c6,0,0.014,0.162,True,44202,27648,27648,0,411798,,,2,86969,,1.9675354056377539,"{""block_cap"": 0.6, ""comm_weight"": 1e-06, ""p1_pruned_labels"": 12}",True,results\plans_final\case_010_p1_n2.json
